medium_large_source_archive_sha256,large_source_archive_sha256,scale,execution_attempt,introduced_stage,task_type,seed,rho,candidate,run_key,run_directory_id,git_commit,config_file_sha256,resolved_config_file_sha256,resolved_config_canonical_sha256,protocol_sha256,instance_sha256,baseline_run_key,anchor_value_hex,anchor_sha256,state,scientific_status,algorithm_status,certified_solved,algorithm_runtime,penalized_runtime_par2,separation_runtime,master_runtime,post_evaluation_wall_runtime,total_wall_runtime,iterations,cuts,source_archive_sha256
3919E271C40BDC86F5EE7FFA582A06DDD325D5BB4EAD453550ED17A6C62DB751,7A3C7BF75B0D6D3228B6AA9AC0E8B8E6799A4B4925949C89DBBCBF311C2D2376,large,2,s1,frontier,161,0.0,persistent_certified_cache,fairness_scalability_development_large__scalability_s1_frontier__rho_0__large__seed_161__persistent_certified_cache,r_4fdbebd396b720c5b631e198,ec33a047ecd60f4cb473260f1b3c4078726db776,CEB6025CD06DFBE91312827E738A47BF65FFCC2DCDEAFAD56EA5C3B9EE790801,583DEB4E9AFE00104C941DB24B96E6FD4ACEDADB687ACB5D067B715780C0C9F9,D24B5B1BB735E3FEA972348A41754DFF1A7635444F0726D65439ACB937589325,CB64C7505F81296992164359E7B2C929AE2868F9364FADDE68631AFCA2CC78B4,BDC284C119696505BF447375B4E6D6525CB53B48DE94889B402305D0C0D25502,fairness_scalability_development_large__scalability_s1_baseline__baseline__large__seed_161__joint_v1_core_point_strengthened,0x1.a8c5c634ad27bp+14,c1ee9c4c5ff946ef08224fe3714e6d149c08ef18c3e592967ed5b1807896c871,complete,time_limit_uncertified,time_limit,false,1800.0161004001275,3600.0,98.2954765073955,1699.2760656960309,0.0,1800.0161004001275,4950,4950,7A3C7BF75B0D6D3228B6AA9AC0E8B8E6799A4B4925949C89DBBCBF311C2D2376
3919E271C40BDC86F5EE7FFA582A06DDD325D5BB4EAD453550ED17A6C62DB751,7A3C7BF75B0D6D3228B6AA9AC0E8B8E6799A4B4925949C89DBBCBF311C2D2376,large,2,s1,frontier,161,0.0,persistent_certified_cache_batch5,fairness_scalability_development_large__scalability_s1_frontier__rho_0__large__seed_161__persistent_certified_cache_batch5,r_3ce96b3512e6b4bd860eed17,ec33a047ecd60f4cb473260f1b3c4078726db776,CEB6025CD06DFBE91312827E738A47BF65FFCC2DCDEAFAD56EA5C3B9EE790801,583DEB4E9AFE00104C941DB24B96E6FD4ACEDADB687ACB5D067B715780C0C9F9,D24B5B1BB735E3FEA972348A41754DFF1A7635444F0726D65439ACB937589325,CB64C7505F81296992164359E7B2C929AE2868F9364FADDE68631AFCA2CC78B4,BDC284C119696505BF447375B4E6D6525CB53B48DE94889B402305D0C0D25502,fairness_scalability_development_large__scalability_s1_baseline__baseline__large__seed_161__joint_v1_core_point_strengthened,0x1.a8c5c634ad27bp+14,c1ee9c4c5ff946ef08224fe3714e6d149c08ef18c3e592967ed5b1807896c871,complete,time_limit_uncertified,time_limit,false,1800.0232582001481,3600.0,165.9251015051268,1632.3950527978595,0.0,1800.0232582001481,1800,9000,7A3C7BF75B0D6D3228B6AA9AC0E8B8E6799A4B4925949C89DBBCBF311C2D2376
3919E271C40BDC86F5EE7FFA582A06DDD325D5BB4EAD453550ED17A6C62DB751,7A3C7BF75B0D6D3228B6AA9AC0E8B8E6799A4B4925949C89DBBCBF311C2D2376,large,2,s1,frontier,161,0.0,persistent_separation,fairness_scalability_development_large__scalability_s1_frontier__rho_0__large__seed_161__persistent_separation,r_2eeb9ffcc6fcf5be67a4107a,ec33a047ecd60f4cb473260f1b3c4078726db776,CEB6025CD06DFBE91312827E738A47BF65FFCC2DCDEAFAD56EA5C3B9EE790801,583DEB4E9AFE00104C941DB24B96E6FD4ACEDADB687ACB5D067B715780C0C9F9,D24B5B1BB735E3FEA972348A41754DFF1A7635444F0726D65439ACB937589325,CB64C7505F81296992164359E7B2C929AE2868F9364FADDE68631AFCA2CC78B4,BDC284C119696505BF447375B4E6D6525CB53B48DE94889B402305D0C0D25502,fairness_scalability_development_large__scalability_s1_baseline__baseline__large__seed_161__joint_v1_core_point_strengthened,0x1.a8c5c634ad27bp+14,c1ee9c4c5ff946ef08224fe3714e6d149c08ef18c3e592967ed5b1807896c871,complete,time_limit_uncertified,time_limit,false,1800.007689199876,3600.0,1784.1490157032385,15.554399203974754,0.0,1800.007689199876,506,505,7A3C7BF75B0D6D3228B6AA9AC0E8B8E6799A4B4925949C89DBBCBF311C2D2376
3919E271C40BDC86F5EE7FFA582A06DDD325D5BB4EAD453550ED17A6C62DB751,7A3C7BF75B0D6D3228B6AA9AC0E8B8E6799A4B4925949C89DBBCBF311C2D2376,large,2,s1,frontier,161,0.0,single_cut,fairness_scalability_development_large__scalability_s1_frontier__rho_0__large__seed_161__single_cut,r_77328e1fde767ca0184a9951,ec33a047ecd60f4cb473260f1b3c4078726db776,CEB6025CD06DFBE91312827E738A47BF65FFCC2DCDEAFAD56EA5C3B9EE790801,583DEB4E9AFE00104C941DB24B96E6FD4ACEDADB687ACB5D067B715780C0C9F9,D24B5B1BB735E3FEA972348A41754DFF1A7635444F0726D65439ACB937589325,CB64C7505F81296992164359E7B2C929AE2868F9364FADDE68631AFCA2CC78B4,BDC284C119696505BF447375B4E6D6525CB53B48DE94889B402305D0C0D25502,fairness_scalability_development_large__scalability_s1_baseline__baseline__large__seed_161__joint_v1_core_point_strengthened,0x1.a8c5c634ad27bp+14,c1ee9c4c5ff946ef08224fe3714e6d149c08ef18c3e592967ed5b1807896c871,complete,time_limit_uncertified,time_limit,false,1800.0063522998244,3600.0,1784.4692275987472,13.390270801726729,0.0,1800.0063522998244,439,438,7A3C7BF75B0D6D3228B6AA9AC0E8B8E6799A4B4925949C89DBBCBF311C2D2376
3919E271C40BDC86F5EE7FFA582A06DDD325D5BB4EAD453550ED17A6C62DB751,7A3C7BF75B0D6D3228B6AA9AC0E8B8E6799A4B4925949C89DBBCBF311C2D2376,large,2,s1,frontier,161,0.01,persistent_certified_cache,fairness_scalability_development_large__scalability_s1_frontier__rho_0_01__large__seed_161__persistent_certified_cache,r_e24fbdd1f5f6d6b9b04497c3,ec33a047ecd60f4cb473260f1b3c4078726db776,CEB6025CD06DFBE91312827E738A47BF65FFCC2DCDEAFAD56EA5C3B9EE790801,583DEB4E9AFE00104C941DB24B96E6FD4ACEDADB687ACB5D067B715780C0C9F9,D24B5B1BB735E3FEA972348A41754DFF1A7635444F0726D65439ACB937589325,CB64C7505F81296992164359E7B2C929AE2868F9364FADDE68631AFCA2CC78B4,BDC284C119696505BF447375B4E6D6525CB53B48DE94889B402305D0C0D25502,fairness_scalability_development_large__scalability_s1_baseline__baseline__large__seed_161__joint_v1_core_point_strengthened,0x1.a8c5c634ad27bp+14,c1ee9c4c5ff946ef08224fe3714e6d149c08ef18c3e592967ed5b1807896c871,complete,time_limit_uncertified,time_limit,false,1800.0130738001317,3600.0,95.25708730425686,1702.3305574031547,0.0,1800.0130738001317,4831,4831,7A3C7BF75B0D6D3228B6AA9AC0E8B8E6799A4B4925949C89DBBCBF311C2D2376
3919E271C40BDC86F5EE7FFA582A06DDD325D5BB4EAD453550ED17A6C62DB751,7A3C7BF75B0D6D3228B6AA9AC0E8B8E6799A4B4925949C89DBBCBF311C2D2376,large,2,s1,frontier,161,0.01,persistent_certified_cache_batch5,fairness_scalability_development_large__scalability_s1_frontier__rho_0_01__large__seed_161__persistent_certified_cache_batch5,r_32ae5beeac54f2970298bff1,ec33a047ecd60f4cb473260f1b3c4078726db776,CEB6025CD06DFBE91312827E738A47BF65FFCC2DCDEAFAD56EA5C3B9EE790801,583DEB4E9AFE00104C941DB24B96E6FD4ACEDADB687ACB5D067B715780C0C9F9,D24B5B1BB735E3FEA972348A41754DFF1A7635444F0726D65439ACB937589325,CB64C7505F81296992164359E7B2C929AE2868F9364FADDE68631AFCA2CC78B4,BDC284C119696505BF447375B4E6D6525CB53B48DE94889B402305D0C0D25502,fairness_scalability_development_large__scalability_s1_baseline__baseline__large__seed_161__joint_v1_core_point_strengthened,0x1.a8c5c634ad27bp+14,c1ee9c4c5ff946ef08224fe3714e6d149c08ef18c3e592967ed5b1807896c871,complete,time_limit_uncertified,time_limit,false,1800.0319869001396,3600.0,157.1620621944312,1641.2473973978776,0.0,1800.0319869001396,1716,8580,7A3C7BF75B0D6D3228B6AA9AC0E8B8E6799A4B4925949C89DBBCBF311C2D2376
3919E271C40BDC86F5EE7FFA582A06DDD325D5BB4EAD453550ED17A6C62DB751,7A3C7BF75B0D6D3228B6AA9AC0E8B8E6799A4B4925949C89DBBCBF311C2D2376,large,2,s1,frontier,161,0.01,persistent_separation,fairness_scalability_development_large__scalability_s1_frontier__rho_0_01__large__seed_161__persistent_separation,r_235d9d3effd8874ed679ef6c,ec33a047ecd60f4cb473260f1b3c4078726db776,CEB6025CD06DFBE91312827E738A47BF65FFCC2DCDEAFAD56EA5C3B9EE790801,583DEB4E9AFE00104C941DB24B96E6FD4ACEDADB687ACB5D067B715780C0C9F9,D24B5B1BB735E3FEA972348A41754DFF1A7635444F0726D65439ACB937589325,CB64C7505F81296992164359E7B2C929AE2868F9364FADDE68631AFCA2CC78B4,BDC284C119696505BF447375B4E6D6525CB53B48DE94889B402305D0C0D25502,fairness_scalability_development_large__scalability_s1_baseline__baseline__large__seed_161__joint_v1_core_point_strengthened,0x1.a8c5c634ad27bp+14,c1ee9c4c5ff946ef08224fe3714e6d149c08ef18c3e592967ed5b1807896c871,complete,time_limit_uncertified,time_limit,false,1800.0041539000813,3600.0,1782.820484902244,16.889483101665974,0.0,1800.0041539000813,540,539,7A3C7BF75B0D6D3228B6AA9AC0E8B8E6799A4B4925949C89DBBCBF311C2D2376
3919E271C40BDC86F5EE7FFA582A06DDD325D5BB4EAD453550ED17A6C62DB751,7A3C7BF75B0D6D3228B6AA9AC0E8B8E6799A4B4925949C89DBBCBF311C2D2376,large,2,s1,frontier,161,0.01,single_cut,fairness_scalability_development_large__scalability_s1_frontier__rho_0_01__large__seed_161__single_cut,r_3bbf6818eda149579339df65,ec33a047ecd60f4cb473260f1b3c4078726db776,CEB6025CD06DFBE91312827E738A47BF65FFCC2DCDEAFAD56EA5C3B9EE790801,583DEB4E9AFE00104C941DB24B96E6FD4ACEDADB687ACB5D067B715780C0C9F9,D24B5B1BB735E3FEA972348A41754DFF1A7635444F0726D65439ACB937589325,CB64C7505F81296992164359E7B2C929AE2868F9364FADDE68631AFCA2CC78B4,BDC284C119696505BF447375B4E6D6525CB53B48DE94889B402305D0C0D25502,fairness_scalability_development_large__scalability_s1_baseline__baseline__large__seed_161__joint_v1_core_point_strengthened,0x1.a8c5c634ad27bp+14,c1ee9c4c5ff946ef08224fe3714e6d149c08ef18c3e592967ed5b1807896c871,complete,time_limit_uncertified,time_limit,false,1800.0049422001466,3600.0,1781.2375085954554,16.929629097459838,0.0,1800.0049422001466,535,534,7A3C7BF75B0D6D3228B6AA9AC0E8B8E6799A4B4925949C89DBBCBF311C2D2376
3919E271C40BDC86F5EE7FFA582A06DDD325D5BB4EAD453550ED17A6C62DB751,7A3C7BF75B0D6D3228B6AA9AC0E8B8E6799A4B4925949C89DBBCBF311C2D2376,large,2,s1,baseline,162,NOT_APPLICABLE,joint_v1_core_point_strengthened,fairness_scalability_development_large__scalability_s1_baseline__baseline__large__seed_162__joint_v1_core_point_strengthened,r_dfe9aa9b46d404efd46deaf8,ec33a047ecd60f4cb473260f1b3c4078726db776,CEB6025CD06DFBE91312827E738A47BF65FFCC2DCDEAFAD56EA5C3B9EE790801,583DEB4E9AFE00104C941DB24B96E6FD4ACEDADB687ACB5D067B715780C0C9F9,D24B5B1BB735E3FEA972348A41754DFF1A7635444F0726D65439ACB937589325,CB64C7505F81296992164359E7B2C929AE2868F9364FADDE68631AFCA2CC78B4,7B6DDFC0D7ADB42F248A6C9C2069D11E0241DE7D2A4E6ED1B2C6F88F8936E461,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,complete,certified_robust_optimal,optimal,true,547.8954674000852,547.8954674000852,0.0,45.53572759940289,0.0,547.8954674000852,668,668,7A3C7BF75B0D6D3228B6AA9AC0E8B8E6799A4B4925949C89DBBCBF311C2D2376
3919E271C40BDC86F5EE7FFA582A06DDD325D5BB4EAD453550ED17A6C62DB751,7A3C7BF75B0D6D3228B6AA9AC0E8B8E6799A4B4925949C89DBBCBF311C2D2376,large,2,s1,frontier,162,0.0,persistent_certified_cache,fairness_scalability_development_large__scalability_s1_frontier__rho_0__large__seed_162__persistent_certified_cache,r_0200f89c466ebd2a4d797da9,ec33a047ecd60f4cb473260f1b3c4078726db776,CEB6025CD06DFBE91312827E738A47BF65FFCC2DCDEAFAD56EA5C3B9EE790801,583DEB4E9AFE00104C941DB24B96E6FD4ACEDADB687ACB5D067B715780C0C9F9,D24B5B1BB735E3FEA972348A41754DFF1A7635444F0726D65439ACB937589325,CB64C7505F81296992164359E7B2C929AE2868F9364FADDE68631AFCA2CC78B4,7B6DDFC0D7ADB42F248A6C9C2069D11E0241DE7D2A4E6ED1B2C6F88F8936E461,fairness_scalability_development_large__scalability_s1_baseline__baseline__large__seed_162__joint_v1_core_point_strengthened,0x1.98e9be62c7a8fp+14,00bb8a59a4c6a0143dd3cd8e49318746869871ec280a058404d535c397d7b097,complete,time_limit_uncertified,time_limit,false,1800.0233781000134,3600.0,141.33861379278824,1655.1579874022864,0.0,1800.0233781000134,7271,7271,7A3C7BF75B0D6D3228B6AA9AC0E8B8E6799A4B4925949C89DBBCBF311C2D2376
