medium_large_source_archive_sha256,large_source_archive_sha256,scale,candidate,run_count,certified_solved_count,solved_rate,time_limit_uncertified_count,other_uncertified_count,mean_algorithm_runtime,mean_penalized_runtime_par2,mean_separation_runtime,mean_master_runtime,mean_post_evaluation_solver_runtime,mean_post_evaluation_wall_runtime,mean_total_wall_runtime,mean_iterations,mean_cuts,mean_cache_candidate_count,mean_cache_hit_count,mean_certified_cached_cut_count,mean_pool_candidate_count,mean_certified_batch_cut_count,mean_duplicate_pattern_count,mean_cuts_per_iteration
3919E271C40BDC86F5EE7FFA582A06DDD325D5BB4EAD453550ED17A6C62DB751,7A3C7BF75B0D6D3228B6AA9AC0E8B8E6799A4B4925949C89DBBCBF311C2D2376,large,persistent_certified_cache,6,0,0.0,6,0,1800.0179523167124,3600.0,139.7759955499399,1656.7945535502706,0.0,0.0,1800.0179523167124,6266.833333333333,6266.833333333333,6265.833333333333,6265.833333333333,6265.833333333333,0.0,0.0,0.0,1.0
3919E271C40BDC86F5EE7FFA582A06DDD325D5BB4EAD453550ED17A6C62DB751,7A3C7BF75B0D6D3228B6AA9AC0E8B8E6799A4B4925949C89DBBCBF311C2D2376,large,persistent_certified_cache_batch5,6,0,0.0,6,0,1800.038199816714,3600.0,241.23330984966984,1556.3597725518823,0.0,0.0,1800.038199816714,2311.6666666666665,11558.333333333334,11553.333333333334,11553.333333333334,11553.333333333334,5.0,11558.333333333334,0.0,5.0
3919E271C40BDC86F5EE7FFA582A06DDD325D5BB4EAD453550ED17A6C62DB751,7A3C7BF75B0D6D3228B6AA9AC0E8B8E6799A4B4925949C89DBBCBF311C2D2376,large,persistent_separation,6,0,0.0,6,0,1800.0068388999596,3600.0,1787.624910701299,12.036323851595322,0.0,0.0,1800.0068388999596,580.1666666666666,579.1666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.9982631591649237
3919E271C40BDC86F5EE7FFA582A06DDD325D5BB4EAD453550ED17A6C62DB751,7A3C7BF75B0D6D3228B6AA9AC0E8B8E6799A4B4925949C89DBBCBF311C2D2376,large,single_cut,6,0,0.0,6,0,1800.006314316687,3600.0,1785.7758069648019,12.074704867981685,0.0,0.0,1800.006314316687,556.3333333333334,555.3333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.9981747836544256
3919E271C40BDC86F5EE7FFA582A06DDD325D5BB4EAD453550ED17A6C62DB751,7A3C7BF75B0D6D3228B6AA9AC0E8B8E6799A4B4925949C89DBBCBF311C2D2376,medium_large,persistent_certified_cache,6,2,0.3333333333333333,1,3,404.50834668326814,2424.1748118666387,33.752096501916334,369.59065436459304,0.5449995597203573,2.7576127336360514,409.0802658502168,2550.6666666666665,2549.5,2685.6666666666665,2546.0,2546.0,0.0,0.0,0.0,0.999046003776435
3919E271C40BDC86F5EE7FFA582A06DDD325D5BB4EAD453550ED17A6C62DB751,7A3C7BF75B0D6D3228B6AA9AC0E8B8E6799A4B4925949C89DBBCBF311C2D2376,medium_large,persistent_certified_cache_batch5,6,6,1.0,0,0,158.80106708337553,158.80106708337553,44.58032656868454,113.48138290042213,1.5108346541722615,8.364436533418484,172.76082496733093,623.1666666666666,2968.6666666666665,4007.1666666666665,2952.3333333333335,2952.3333333333335,17.0,2969.3333333333335,0.0,4.567798012800927
3919E271C40BDC86F5EE7FFA582A06DDD325D5BB4EAD453550ED17A6C62DB751,7A3C7BF75B0D6D3228B6AA9AC0E8B8E6799A4B4925949C89DBBCBF311C2D2376,medium_large,persistent_separation,6,6,1.0,0,0,383.386736416646,383.386736416646,376.1864074989765,7.042394950481442,1.6063364346822102,8.896010466696074,398.3460052337032,314.0,312.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9931419538389217
3919E271C40BDC86F5EE7FFA582A06DDD325D5BB4EAD453550ED17A6C62DB751,7A3C7BF75B0D6D3228B6AA9AC0E8B8E6799A4B4925949C89DBBCBF311C2D2376,medium_large,single_cut,6,6,1.0,0,0,391.6362868499321,391.6362868499321,383.064242982422,7.611172882568401,1.5400029420852661,8.40344566696634,405.433893050688,319.0,317.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9932444948743174
