scale,gamma,comparison_type,metric,statistic,value,seed_count
medium_large,0,level,penalized_runtime_par2,median,0.06037389999255538,5
medium_large,0,level,penalized_runtime_par2,std,0.07471200847879365,5
medium_large,0,level,penalized_runtime_par2,iqr,0.013296999997692183,5
medium_large,0,level,penalized_runtime_par2,min,0.041193199998815544,5
medium_large,0,level,penalized_runtime_par2,max,0.22315349998825695,5
medium_large,0,level,iterations,mean,1.0,5
medium_large,0,level,iterations,median,1.0,5
medium_large,0,level,iterations,std,0.0,5
medium_large,0,level,iterations,iqr,0.0,5
medium_large,0,level,iterations,min,1.0,5
medium_large,0,level,iterations,max,1.0,5
medium_large,0,level,scenario_block_count,mean,1.0,5
medium_large,0,level,scenario_block_count,median,1.0,5
medium_large,0,level,scenario_block_count,std,0.0,5
medium_large,0,level,scenario_block_count,iqr,0.0,5
medium_large,0,level,scenario_block_count,min,1.0,5
medium_large,0,level,scenario_block_count,max,1.0,5
medium_large,0,level,certified_farkas_cut_count,mean,0.0,5
medium_large,0,level,certified_farkas_cut_count,median,0.0,5
medium_large,0,level,certified_farkas_cut_count,std,0.0,5
medium_large,0,level,certified_farkas_cut_count,iqr,0.0,5
medium_large,0,level,certified_farkas_cut_count,min,0.0,5
medium_large,0,level,certified_farkas_cut_count,max,0.0,5
medium_large,1,level,baseline_robust_cost,mean,19458.057131483634,5
medium_large,1,level,baseline_robust_cost,median,17598.582473317656,5
medium_large,1,level,baseline_robust_cost,std,4684.360540143311,5
medium_large,1,level,baseline_robust_cost,iqr,2407.5157965731414,5
medium_large,1,level,baseline_robust_cost,min,15859.057745515685,5
medium_large,1,level,baseline_robust_cost,max,27524.295880826823,5
medium_large,1,level,cost_budget,mean,19944.508559770722,5
medium_large,1,level,cost_budget,median,18038.547035150597,5
medium_large,1,level,cost_budget,std,4801.469553646893,5
medium_large,1,level,cost_budget,iqr,2467.7036914874698,5
medium_large,1,level,cost_budget,min,16255.534189153575,5
medium_large,1,level,cost_budget,max,28212.40327784749,5
medium_large,1,level,actual_robust_cost,mean,19857.11183689985,5
medium_large,1,level,actual_robust_cost,median,17959.190553772067,5
medium_large,1,level,actual_robust_cost,std,4866.2351701917,5
medium_large,1,level,actual_robust_cost,iqr,2678.028616468666,5
medium_large,1,level,actual_robust_cost,min,16108.231981158951,5
medium_large,1,level,actual_robust_cost,max,28212.403277847487,5
