scale,gamma,seed_count,baseline_runs,frontier_runs,certified_frontiers,baseline_robust_cost_mean,baseline_robust_cost_median,cost_budget_mean,cost_budget_median,actual_robust_cost_mean,actual_robust_cost_median,actual_price_of_fairness_mean,actual_price_of_fairness_median,objective_t_mean,objective_t_median,robust_minimum_fill_rate_mean,robust_minimum_fill_rate_median,wminfr_mean,wminfr_median,minimum_weighted_mean_fill_rate_mean,minimum_weighted_mean_fill_rate_median,inventory_mean,inventory_median,opened_warehouses_mean,opened_warehouses_median,algorithm_runtime_mean,algorithm_runtime_median,master_runtime_mean,master_runtime_median,separation_runtime_mean,separation_runtime_median,post_evaluation_wall_runtime_mean,post_evaluation_wall_runtime_median,total_wall_runtime_mean,total_wall_runtime_median,penalized_runtime_par2_mean,penalized_runtime_par2_median,iterations_mean,iterations_median,scenario_block_count_mean,scenario_block_count_median,certified_farkas_cut_count_mean,certified_farkas_cut_count_median
medium_large,0,5,5,5,5,18562.049920914556,17160.351293593158,19026.10116893742,17589.360075932986,18954.752006297414,17419.177174064782,0.020763968406723565,0.02499210396458662,0.047833492337391204,0.0,0.9521665076626087,1.0,0.9521665076626087,1.0,0.9521665076626087,1.0,3712.934452437683,3720.0,6.0,6.0,0.09092899999814108,0.06037389999255538,0.03332842000236269,0.013962299999548122,0.02280126000114251,0.014351699996041134,0.008703339999192395,0.006741000004694797,0.1067371799988905,0.07268689999182243,0.09092899999814108,0.06037389999255538,1.0,1.0,1.0,1.0,0.0,0.0
medium_large,1,5,5,5,5,19458.057131483634,17598.582473317656,19944.508559770722,18038.547035150597,19857.11183689985,17959.190553772067,0.019758858812472146,0.020490745831441393,0.054493238100772154,0.007379603401655689,0.9455067618992278,0.9926203965983443,0.9455067618992278,0.9926203965983443,0.9455067618992279,0.9926203965983443,3768.1579793877963,3913.1,6.0,6.0,2.786436519995914,2.001728399991407,0.6749238999997033,0.511831700001494,1.974371060001431,1.349824599994463,0.32007609999564013,0.28529189999972004,3.148073619991192,2.527793599976576,2.786436519995914,2.001728399991407,2.0,2.0,12.0,12.0,1.0,1.0
medium_large,2,5,5,5,5,20281.763385806003,18001.624992270536,20788.80747045115,18451.6656170773,20764.47144190644,18451.55170450367,0.0235508806880524,0.024993672094953734,0.06225168002314968,0.015807441268575945,0.9377483199768504,0.9841925587314241,0.9377483199768502,0.984192558731424,0.9377483199768504,0.9841925587314241,3778.824380953527,3975.204394182684,6.0,6.0,22.03424230000237,21.003595200003474,3.715544740005862,4.235358199977782,18.096428560005734,15.450718600026448,8.854737380024744,8.49366850007209,34.93500804000068,35.75258289996418,22.03424230000237,21.003595200003474,5.4,5.0,15.4,15.0,4.4,4.0
large,0,5,5,5,5,25565.85291768582,24338.2045780911,26204.999240627967,24946.659692543373,26170.039858581138,24909.363139497866,0.02356841098920235,0.023467571717303848,0.030084603978742193,0.0,0.9699153960212579,1.0,0.9699153960212576,1.0,0.9699153960212579,1.0,5997.556971271682,6115.0,8.0,8.0,0.11698477999598253,0.11490319999575149,0.02351655999664217,0.020096300009754486,0.03768736000347417,0.03843530001176987,0.014798760000849143,0.012334700004430488,0.1387884999916423,0.13239609998709057,0.11698477999598253,0.11490319999575149,1.0,1.0,1.0,1.0,0.0,0.0
large,1,5,5,5,5,26200.563499207616,24749.842870790126,26855.577586687803,25368.588942559876,26734.599034209707,25199.46269700223,0.020114719037655427,0.0181665729580347,0.03243264805552838,0.001057934352594126,0.9675673519444716,0.9989420656474058,0.9675673519444714,0.9989420656474057,0.9675673519444716,0.9989420656474058,6151.870817337518,6347.90438249798,8.0,8.0,9.910346779995598,9.063899599990691,3.002588240001933,3.4984568000072613,6.6087798400083555,5.691470599980676,0.940203319999273,0.87825980001071,10.918306480004684,9.963305299999774,9.910346779995598,9.063899599990691,3.0,2.0,15.0,14.0,2.0,1.0
large,2,5,5,5,5,26789.544403195516,25124.566156385263,27459.2830132754,25752.68031029489,27405.534689377626,25725.625285312664,0.022855940239214955,0.023923164491126858,0.03585648311400403,0.005798056682942115,0.964143516885996,0.9942019433170579,0.9641435168859959,0.9942019433170577,0.964143516885996,0.9942019433170579,6227.586312700186,6352.360653446343,8.0,8.0,76.23086317999987,76.71732679998968,10.245620159996907,10.182472600004985,65.4701044599904,64.75086499997997,44.771341000011304,46.81968960008817,144.84282399997755,141.59596940000483,76.23086317999987,76.71732679998968,7.6,9.0,19.6,21.0,6.6,8.0
