scale,candidate,tasks,certified_solved,time_limit_uncertified,pipeline_failures,comparison_target,scale_identity_matches,seed_identity_matches,gamma_identity_matches,rho_identity_matches,instance_identity_matches,baseline_run_key_matches,anchor_sha256_matches,threads_match,solver_seed_matches,feasibility_tolerance_matches,algorithm_time_limit_matches,scientific_success_definition_matches,final_exact_certification_requirement_matches,strict_pair_count,evidence_scope,strict_paired_runtime_claim_allowed
medium_large,single_cut,6,6,0,0,"Gamma Attempt 3, seeds 180-184, Gamma=2, rho=0.025",True,False,False,False,False,False,False,True,True,True,True,True,True,0,development-stage certification and timeout/PAR-2 evidence,False
medium_large,persistent_separation,6,6,0,0,"Gamma Attempt 3, seeds 180-184, Gamma=2, rho=0.025",True,False,False,False,False,False,False,True,True,True,True,True,True,0,development-stage certification and timeout/PAR-2 evidence,False
medium_large,persistent_certified_cache,6,2,1,0,"Gamma Attempt 3, seeds 180-184, Gamma=2, rho=0.025",True,False,False,False,False,False,False,True,True,True,True,True,True,0,development-stage certification and timeout/PAR-2 evidence,False
medium_large,persistent_certified_cache_batch5,6,6,0,0,"Gamma Attempt 3, seeds 180-184, Gamma=2, rho=0.025",True,False,False,False,False,False,False,True,True,True,True,True,True,0,development-stage certification and timeout/PAR-2 evidence,False
large,single_cut,6,0,6,0,"Gamma Attempt 3, seeds 180-184, Gamma=2, rho=0.025",True,False,False,False,False,False,False,True,True,True,True,True,True,0,development-stage certification and timeout/PAR-2 evidence,False
large,persistent_separation,6,0,6,0,"Gamma Attempt 3, seeds 180-184, Gamma=2, rho=0.025",True,False,False,False,False,False,False,True,True,True,True,True,True,0,development-stage certification and timeout/PAR-2 evidence,False
large,persistent_certified_cache,6,0,6,0,"Gamma Attempt 3, seeds 180-184, Gamma=2, rho=0.025",True,False,False,False,False,False,False,True,True,True,True,True,True,0,development-stage certification and timeout/PAR-2 evidence,False
large,persistent_certified_cache_batch5,6,0,6,0,"Gamma Attempt 3, seeds 180-184, Gamma=2, rho=0.025",True,False,False,False,False,False,False,True,True,True,True,True,True,0,development-stage certification and timeout/PAR-2 evidence,False
