seed,instance_name,monolithic_objective,scenario_benders_objective,standard_benders_objective,proposed_objective,abs_diff_monolithic_vs_standard,rel_diff_monolithic_vs_standard,abs_diff_scenario_vs_robust_dual,rel_diff_scenario_vs_robust_dual,abs_diff_monolithic_vs_proposed,rel_diff_monolithic_vs_proposed,abs_diff_scenario_vs_proposed,rel_diff_scenario_vs_proposed,status
0,inventory_I3_J3_R4_seed0,6436.530953301054,6436.530953301053,6436.530953301054,6436.530953301054,0.0,0.0,9.094947017729282e-13,1.4130200077830477e-16,0.0,0.0,9.094947017729282e-13,1.4130200077830477e-16,ok
1,inventory_I3_J3_R4_seed1,6825.161894639923,6825.161894639919,6825.161894639921,6825.161894639921,1.8189894035458565e-12,2.6651227203480444e-16,1.8189894035458565e-12,2.665122720348046e-16,1.8189894035458565e-12,2.6651227203480444e-16,1.8189894035458565e-12,2.665122720348046e-16,ok
2,inventory_I3_J3_R4_seed2,4828.081879847105,4828.081879847105,4828.081879847106,4828.081879847106,1.8189894035458565e-12,3.7675197911172546e-16,1.8189894035458565e-12,3.7675197911172546e-16,1.8189894035458565e-12,3.7675197911172546e-16,1.8189894035458565e-12,3.7675197911172546e-16,ok
