case_id,run_order,hybrid_v7_status,batch4_ccg_status,hybrid_v7_certified,batch4_ccg_certified,hybrid_v7_runtime,batch4_ccg_runtime,hybrid_v7_iterations,batch4_ccg_iterations,hybrid_v7_objective_t,batch4_ccg_objective_t
week_2018-05-07,hybrid_v7 then batch4_ccg,optimal,optimal,True,True,86.8808391999919,101.22326150001027,2,2,0.8082853384317907,0.808285338431691
week_2018-05-14,batch4_ccg then hybrid_v7,optimal,optimal,True,True,67.43523489998188,65.30320790002588,2,2,0.8893556928770284,0.8893556928773751
week_2018-05-21,hybrid_v7 then batch4_ccg,optimal,optimal,True,True,3.3170785000547767,2.883748000022024,2,2,0.0032189167221491335,0.0032189167221488286
week_2018-06-04,batch4_ccg then hybrid_v7,optimal,optimal,True,True,73.62328330008313,58.99712670000736,3,3,0.8199820799063303,0.8199820799063303
week_2018-06-11,hybrid_v7 then batch4_ccg,optimal,optimal,True,True,59.0336259000469,59.40589200006798,2,2,0.9368039957021032,0.9368039957025093
week_2018-06-18,batch4_ccg then hybrid_v7,optimal,optimal,True,True,65.96880329994019,66.79547489993274,2,2,0.9092296009466142,0.9092296009465026
week_2018-07-02,hybrid_v7 then batch4_ccg,optimal,optimal,True,True,11.946025099954568,8.965008100029081,2,2,0.5545264217872463,0.5545264217870799
week_2018-07-09,batch4_ccg then hybrid_v7,optimal,optimal,True,True,4.02224799990654,3.5567451000679284,2,2,0.004281267882568247,0.004281286919701309
week_2018-07-16,hybrid_v7 then batch4_ccg,optimal,optimal,True,True,61.33416149998084,63.23176260001492,2,2,0.9294500261256051,0.9294500261251751
week_2018-07-30,batch4_ccg then hybrid_v7,optimal,optimal,True,True,91.70160759997088,93.36746730003506,2,2,0.7760996302821089,0.7760996302819738
week_2018-08-06,hybrid_v7 then batch4_ccg,optimal,optimal,True,True,48.47969499998726,43.948465100023896,2,2,0.8762844813493752,0.8762844813488753
week_2018-08-13,batch4_ccg then hybrid_v7,optimal,optimal,True,True,91.96442549990024,91.57528709992766,2,2,0.8507443344031617,0.8507443344038768
