iteration,elapsed_time,lower_bound,upper_bound,gap,master_time,subproblem_time,core_point_stage1_runtime,core_point_stage2_runtime,cuts_added_total,adversarial_pattern
44,3.0515179000794888,108480.21751471506,128760.85877934376,0.1575062597196827,0.006636100122705102,0.028865200001746416,0.008206699974834919,0.012575899949297309,44,"[[0, 6], [4, 6]]"
45,3.1475456999614835,108564.72625073827,126145.8029812274,0.13937107945720154,0.007125200005248189,0.06671569985337555,0.00841089989989996,0.010634200181812048,45,"[[0, 6], [4, 6]]"
46,3.2702383999712765,108771.8369626493,126145.8029812274,0.13772924352595103,0.006737499963492155,0.0919709000736475,0.0085207000374794,0.012131700059399009,46,"[[2, 7], [11, 0]]"
47,3.3664772000629455,108846.1440719414,126145.8029812274,0.13714018620072907,0.01120069995522499,0.05924719991162419,0.008629299933090806,0.012746099848300219,47,"[[0, 6], [4, 6]]"
48,3.4651850000955164,108846.1440719414,125889.60848430419,0.13538420380811464,0.00948380003683269,0.06628830009140074,0.008571699960157275,0.011183999944478273,48,"[[0, 6], [11, 6]]"
49,3.5583291000220925,108846.1440719414,125219.19688949015,0.13075513359184443,0.0076651000417768955,0.057805800111964345,0.013842199929058552,0.010474800132215023,49,"[[0, 6], [10, 6]]"
50,3.6638454000931233,108846.1440719414,125219.19688949015,0.13075513359184443,0.008087499998509884,0.07331950007937849,0.008564099902287126,0.01248860009945929,50,"[[2, 7], [11, 5]]"
51,3.745179000077769,108846.1440719414,125219.19688949015,0.13075513359184443,0.008887300034984946,0.04459589999169111,0.009846400003880262,0.014285000041127205,51,"[[0, 6], [10, 6]]"
52,3.816477700136602,108846.1440719414,125219.19688949015,0.13075513359184443,0.008631200063973665,0.035510900197550654,0.009749000193551183,0.013739400077611208,52,"[[2, 7], [10, 6]]"
53,3.888848500093445,108846.1440719414,125219.19688949015,0.13075513359184443,0.008537100162357092,0.036541099892929196,0.008601599838584661,0.015140000032261014,53,"[[0, 6], [4, 6]]"
54,3.9573868000879884,108846.1440719414,125219.19688949015,0.13075513359184443,0.009288399945944548,0.03224530001170933,0.009408399928361177,0.014190900139510632,54,"[[0, 6], [10, 6]]"
55,4.019004600122571,108885.9061829187,125219.19688949015,0.13043759353436912,0.008379099890589714,0.028426799923181534,0.008650399977341294,0.012552999891340733,55,"[[0, 6], [10, 6]]"
56,4.082068799994886,108885.9061829187,125219.19688949015,0.13043759353436912,0.009234500117599964,0.03096110001206398,0.009472500067204237,0.010495400056242943,56,"[[0, 6], [10, 6]]"
57,4.180983500089496,108992.57591880027,125118.14838710721,0.12888276142335078,0.00915660010650754,0.06552809989079833,0.00908079999499023,0.012029000092297792,57,"[[2, 7], [7, 1]]"
58,4.263218099949881,109197.67331250725,123861.34714510402,0.11838781161824621,0.009167100070044398,0.047854699892923236,0.008468399988487363,0.013758099870756269,58,"[[10, 6], [11, 6]]"
59,4.372756200144067,109722.46303964546,123861.34714510402,0.11415089881829567,0.010486099869012833,0.07305630017071962,0.00911149987950921,0.013345699990168214,59,"[[0, 6], [4, 6]]"
60,4.522371800150722,109728.66165877189,123861.34714510402,0.11410085399584458,0.01058030012063682,0.11529850005172193,0.008512699976563454,0.012025800067931414,60,"[[0, 6], [4, 6]]"
61,4.673032799968496,109921.4225638085,123861.34714510402,0.11254459040369427,0.00956649985164404,0.11478159995749593,0.008651000214740634,0.012928499840199947,61,"[[11, 0], [11, 5]]"
62,4.784833800047636,109954.41936736318,123861.34714510402,0.11227818926794672,0.011170200072228909,0.07608349993824959,0.008339800173416734,0.012961799977347255,62,"[[4, 5], [11, 5]]"
63,4.863678199937567,110060.25654300053,123861.34714510402,0.11142370820442847,0.013162099989131093,0.04236089996993542,0.0085402000695467,0.011708500096574426,63,"[[0, 6], [4, 6]]"
64,4.9939119999762625,110188.55030432157,123861.34714510402,0.11038792291484381,0.010953000048175454,0.09328839997760952,0.008577399887144566,0.01387199992313981,64,"[[0, 6], [4, 6]]"
65,5.105417200131342,110385.21442875668,123861.34714510402,0.10880014651027498,0.01066899998113513,0.0751968000549823,0.008767100051045418,0.013571500079706311,65,"[[0, 6], [2, 7]]"
66,5.221376300090924,110408.26381165953,123861.34714510402,0.10861405630994918,0.010994700016453862,0.07568750018253922,0.008413400035351515,0.017396099865436554,66,"[[0, 6], [2, 7]]"
67,5.350548400077969,110517.49354086036,123861.34714510402,0.10773218531695192,0.01113440003246069,0.09399310010485351,0.008864799980074167,0.011732100043445826,67,"[[2, 7], [11, 7]]"
68,5.472622100031003,110568.5450637597,123295.9947576675,0.10322678947457307,0.012284900061786175,0.08532000007107854,0.00910709984600544,0.011727399891242385,68,"[[2, 7], [11, 0]]"
69,5.600141000002623,110590.30876622116,123295.9947576675,0.10305027358284242,0.011124499840661883,0.09129070001654327,0.009077299851924181,0.01230439986102283,69,"[[0, 6], [2, 7]]"
70,5.728351300116628,110735.16550595102,123142.91816183312,0.1007589623592967,0.011919900076463819,0.09240520000457764,0.009288199944421649,0.011293099960312247,70,"[[0, 6], [2, 7]]"
71,5.833597999997437,110879.89294320285,123142.91816183312,0.0995836821287143,0.011139400070533156,0.06989849987439811,0.008530399994924664,0.012495799921452999,71,"[[0, 6], [11, 0]]"
72,5.954438300104812,111430.41617768962,123142.91816183312,0.09511307803142242,0.011686299927532673,0.08226729999296367,0.009456300176680088,0.013895499985665083,72,"[[2, 7], [11, 0]]"
73,6.072308999951929,111430.41617768962,123142.91816183312,0.09511307803142242,0.010813700035214424,0.0835012998431921,0.00852329982444644,0.011650000000372529,73,"[[2, 7], [11, 0]]"
74,6.173084500012919,111449.4891156472,123142.91816183312,0.09495819346118255,0.011238800128921866,0.06550709996372461,0.008564499905332923,0.012320899870246649,74,"[[2, 7], [7, 1]]"
75,6.2873339001089334,111572.01623617709,123142.91816183312,0.09396319413553016,0.01112250005826354,0.07708880002610385,0.008956799982115626,0.013444500043988228,75,"[[0, 6], [4, 6]]"
76,6.4174919000361115,111670.28588334372,122714.179258847,0.08999688090002912,0.012237799819558859,0.09378320001997054,0.008565000025555491,0.012172999791800976,76,"[[0, 6], [2, 7]]"
77,6.554445300018415,111782.58660314178,122714.179258847,0.08908174036389613,0.011609999928623438,0.10076560010202229,0.008615200174972415,0.012637499952688813,77,"[[2, 7], [11, 5]]"
78,6.635399700142443,112126.89511825892,122714.179258847,0.08627596423275424,0.012513999827206135,0.04467009985819459,0.008434000192210078,0.012218700023368001,78,"[[0, 6], [10, 6]]"
79,6.750348800094798,112126.89511825892,121248.85076668765,0.07523333698215084,0.011878999881446362,0.079482699977234,0.008489500032737851,0.011935099959373474,79,"[[0, 6], [2, 7]]"
80,6.850928100058809,112126.89511825892,121248.85076668765,0.07523333698215084,0.011766399955376983,0.06615599989891052,0.008559400215744972,0.01093430002219975,80,"[[0, 6], [2, 7]]"
81,6.957432300085202,112126.89511825892,121248.85076668765,0.07523333698215084,0.011769199976697564,0.06518829986453056,0.014409299939870834,0.01040799985639751,81,"[[0, 6], [2, 7]]"
82,7.0644022999331355,112126.89511825892,121248.85076668765,0.07523333698215084,0.012551199877634645,0.07155889994464815,0.009119100170210004,0.010461700148880482,82,"[[0, 6], [2, 7]]"
83,7.17363560013473,112126.89511825892,121248.85076668765,0.07523333698215084,0.01629729988053441,0.06837769993580878,0.008613399928435683,0.012559600174427032,83,"[[0, 6], [7, 1]]"
84,7.308845699997619,112211.52108653284,121248.85076668765,0.07453538423671197,0.013477300060912967,0.09684269991703331,0.008557500084862113,0.01285729999653995,84,"[[0, 6], [2, 7]]"
85,7.4366461001336575,112574.11275397433,121248.85076668765,0.07154490915056698,0.012348900083452463,0.09244040003977716,0.008585599949583411,0.011139699956402183,85,"[[0, 6], [2, 7]]"
86,7.591751600150019,112623.5455701062,121248.85076668765,0.07113721195740355,0.012889000121504068,0.117409200174734,0.008775800000876188,0.012465700041502714,86,"[[0, 6], [11, 0]]"
87,7.70969199994579,112623.5455701062,121248.85076668765,0.07113721195740355,0.013302000006660819,0.08031089999713004,0.008804999990388751,0.012217700015753508,87,"[[2, 7], [7, 1]]"
88,7.801790799945593,112797.67211922836,121248.85076668765,0.06970110309516601,0.015596200013533235,0.04250110010616481,0.00957280001603067,0.02073690015822649,88,"[[0, 6], [2, 7]]"
89,7.929588400060311,112797.67211922836,121236.24836096722,0.06960439930980011,0.015343999955803156,0.08715899987146258,0.008988199988380075,0.01253279997035861,89,"[[2, 7], [11, 0]]"
90,8.06244989996776,112797.67211922836,120673.27009971961,0.06526381504357318,0.014942799927666783,0.09212539996951818,0.009578400058671832,0.012285300064831972,90,"[[0, 6], [11, 0]]"
91,8.19320710003376,112797.67211922836,120673.27009971961,0.06526381504357318,0.014006600016728044,0.09345609997399151,0.008751499932259321,0.01122320001013577,91,"[[0, 6], [2, 7]]"
92,8.31447680015117,112840.47124963319,120673.27009971961,0.06490914552670779,0.01383110019378364,0.08303970005363226,0.009556700009852648,0.011383699951693416,92,"[[0, 6], [7, 1]]"
93,8.408339400077239,112917.12366884857,120673.27009971961,0.06427393924488554,0.014560000039637089,0.05476689990609884,0.00945590017363429,0.011587699875235558,93,"[[0, 6], [2, 7]]"
94,8.528220500098541,112935.01869626078,120673.27009971961,0.06412564602802459,0.015776599990203977,0.07993700006045401,0.00861979997716844,0.012053699931129813,94,"[[0, 6], [2, 7]]"
95,8.669497200055048,113079.87756135334,120673.27009971961,0.06292522388836727,0.015625899890437722,0.10152149992063642,0.008720400044694543,0.012148299952968955,95,"[[0, 6], [11, 0]]"
96,8.811458399984986,113079.87756135334,119957.58479331246,0.05733449238586663,0.015103999990969896,0.10304430010728538,0.008854000130668283,0.01148059987463057,96,"[[0, 6], [2, 7]]"
97,8.967619100119919,113241.46271704871,119957.58479331246,0.0559874733042989,0.01619819994084537,0.11365079996176064,0.009881099918857217,0.012625700095668435,97,"[[0, 6], [11, 0]]"
98,9.094291700050235,113268.0034235152,119957.58479331246,0.05576622254710651,0.015729299979284406,0.08652529981918633,0.008783800061792135,0.012273099971935153,98,"[[0, 6], [2, 7]]"
99,9.21873680013232,113334.97690220804,119957.58479331246,0.05520791288450167,0.016497100004926324,0.08341750013642013,0.009183400077745318,0.011751099955290556,99,"[[0, 6], [2, 7]]"
100,9.354358199983835,113375.63385081297,119957.58479331246,0.054868985182056025,0.01660979981534183,0.09294130001217127,0.008744799997657537,0.012315700063481927,100,"[[0, 6], [10, 6]]"
101,9.484417200088501,113521.7502596193,119957.58479331246,0.0536509179038753,0.018634999869391322,0.08685490000061691,0.00882419990375638,0.012147899949923158,101,"[[0, 6], [2, 7]]"
102,9.620562199968845,113580.91474706537,119754.17537448398,0.05154943957581581,0.01969439978711307,0.09195550018921494,0.008856200147420168,0.012335299979895353,102,"[[0, 6], [10, 6]]"
103,9.759091699961573,113610.55560788822,119474.139461482,0.049078268150943044,0.01757759996689856,0.09172160015441477,0.01448130002245307,0.011350099928677082,103,"[[2, 7], [11, 0]]"
104,9.878400000045076,113739.0894090035,119474.139461482,0.04800243867274273,0.0189257999882102,0.07520060008391738,0.008564299903810024,0.013137299800291657,104,"[[0, 6], [7, 1]]"
105,10.014405500143766,113821.80914339646,119474.139461482,0.047310073490069646,0.030947400024160743,0.08090880000963807,0.008982899831607938,0.011713000014424324,105,"[[0, 6], [7, 1]]"
106,10.189185600029305,114001.12961393046,119474.139461482,0.045809158971310424,0.04215470002964139,0.10723130009137094,0.00858910009264946,0.013258700026199222,106,"[[0, 6], [11, 0]]"
107,10.315678900107741,114001.12961393046,119474.139461482,0.045809158971310424,0.01811399986036122,0.08331759995780885,0.008965899934992194,0.012224199948832393,107,"[[11, 0], [11, 5]]"
108,10.449337500147521,114001.12961393046,119474.139461482,0.045809158971310424,0.016127499984577298,0.09437000006437302,0.008563000010326505,0.011300000129267573,108,"[[0, 6], [11, 0]]"
109,10.580500500043854,114001.12961393046,119474.139461482,0.045809158971310424,0.01660869992338121,0.08815730013884604,0.008892900077626109,0.01248549995943904,109,"[[7, 1], [11, 0]]"
110,10.75880720000714,114001.12961393046,119474.139461482,0.045809158971310424,0.017109400127083063,0.1362783000804484,0.008797499816864729,0.012601400027051568,110,"[[2, 7], [11, 0]]"
111,10.916639300063252,114001.12961393046,119474.139461482,0.045809158971310424,0.018938699970021844,0.11385460011661053,0.008688400033861399,0.012787699932232499,111,"[[0, 6], [11, 0]]"
112,11.040911300107837,114001.12961393046,119474.139461482,0.045809158971310424,0.01869789999909699,0.0805980998557061,0.009017999982461333,0.012665399815887213,112,"[[0, 6], [11, 0]]"
113,11.146480400115252,114001.12961393046,119474.139461482,0.045809158971310424,0.018037999980151653,0.0626290999352932,0.008691499941051006,0.012862699804827571,113,"[[2, 7], [11, 7]]"
114,11.272901799995452,114001.12961393046,119474.139461482,0.045809158971310424,0.018584799952805042,0.08339990000240505,0.008506699930876493,0.012491799890995026,114,"[[0, 6], [10, 6]]"
115,11.433029900072142,114578.8898358106,119474.139461482,0.040973298889084,0.045671300031244755,0.08745640004053712,0.008997799828648567,0.01432839990593493,115,"[[0, 6], [4, 6]]"
116,11.572746800025925,114578.8898358106,119474.139461482,0.040973298889084,0.018115100217983127,0.0963620999827981,0.008573299972340465,0.013229400152340531,116,"[[2, 7], [11, 0]]"
117,11.717264000093564,114578.8898358106,119474.139461482,0.040973298889084,0.01956549985334277,0.09873299999162555,0.008871400030329823,0.013637900119647384,117,"[[2, 7], [11, 0]]"
118,11.891151299932972,114578.8898358106,119474.139461482,0.040973298889084,0.01986110000871122,0.12221050006337464,0.009377500042319298,0.01674959994852543,118,"[[7, 1], [11, 0]]"
119,12.051406200043857,114578.8898358106,119474.139461482,0.040973298889084,0.02215579990297556,0.1123850999865681,0.0088833998888731,0.013307000044733286,119,"[[11, 0], [11, 5]]"
120,12.214711599983275,114578.8898358106,119474.139461482,0.040973298889084,0.020940599963068962,0.11638469994068146,0.009322399972006679,0.013234599959105253,120,"[[0, 6], [11, 0]]"
121,12.372105400077999,114700.53262860377,119474.139461482,0.03995514723432864,0.04493999993428588,0.08778379997238517,0.008620199980214238,0.012495300034061074,121,"[[7, 1], [11, 0]]"
122,12.56197590008378,114715.89689108708,119474.139461482,0.0398265481705266,0.048853900050744414,0.11643610009923577,0.008682900108397007,0.012494400143623352,122,"[[11, 0], [11, 5]]"
123,12.736708600074053,114715.89689108708,119474.139461482,0.0398265481705266,0.050982199842110276,0.09973210003226995,0.008704700041562319,0.011956700123846531,123,"[[0, 6], [7, 1]]"
124,12.906387600116432,114749.5049514761,119474.139461482,0.03954524829642402,0.05601159995421767,0.08677870011888444,0.008882499998435378,0.013846700079739094,124,"[[0, 6], [11, 0]]"
125,13.082592300139368,114749.5049514761,119474.139461482,0.03954524829642402,0.05032219993881881,0.09204370016232133,0.00880550011061132,0.019863699795678258,125,"[[0, 6], [11, 0]]"
126,13.235584600130096,114961.56990836954,119474.139461482,0.03777026202869032,0.051669200183823705,0.0761111001484096,0.0086646000854671,0.01286889985203743,126,"[[2, 7], [7, 1]]"
127,13.388371499953791,114961.56990836954,119474.139461482,0.03777026202869032,0.024280000012367964,0.10292709991335869,0.00877969991415739,0.013233999954536557,127,"[[0, 6], [4, 6]]"
128,13.532631100155413,114961.56990836954,119474.139461482,0.03777026202869032,0.02068009995855391,0.09928379999473691,0.008724800078198314,0.012117000063881278,128,"[[0, 6], [11, 0]]"
129,13.718594599980861,114961.56990836954,119474.139461482,0.03777026202869032,0.04653869988396764,0.11494200001470745,0.008751600049436092,0.012170900125056505,129,"[[0, 6], [7, 1]]"
130,13.866963000036776,114961.56990836954,119437.6881239627,0.0374765979306922,0.04013949981890619,0.08492629998363554,0.008551300037652254,0.01123349997214973,130,"[[0, 6], [10, 6]]"
131,14.03334980015643,114961.56990836954,119437.6881239627,0.0374765979306922,0.049906699918210506,0.09183480008505285,0.008699000114575028,0.012458499986678362,131,"[[7, 1], [11, 0]]"
132,14.22011260013096,114961.56990836954,119191.09230215708,0.035485222193160464,0.05169779993593693,0.11024850001558661,0.009051100118085742,0.012179900193586946,132,"[[0, 6], [7, 1]]"
133,14.378765900153667,114961.56990836954,119087.5143431019,0.03464632255943423,0.05022240011021495,0.08337619993835688,0.008859700057655573,0.011956200003623962,133,"[[2, 7], [11, 0]]"
134,14.561923100147396,114961.56990836954,118681.08975830351,0.03134045918780198,0.05524399993009865,0.1034005000256002,0.00867919996380806,0.012117499951273203,134,"[[0, 6], [11, 0]]"
135,14.746031299931929,114961.56990836954,118681.08975830351,0.03134045918780198,0.0598110998980701,0.09977929992601275,0.008753899950534105,0.012298600049689412,135,"[[0, 6], [11, 0]]"
136,14.923306900076568,114961.56990836954,118681.08975830351,0.03134045918780198,0.047869900008663535,0.10405119997449219,0.008874800056219101,0.01262360019609332,136,"[[7, 1], [11, 0]]"
137,15.107632900122553,114961.56990836954,118681.08975830351,0.03134045918780198,0.05006040004082024,0.11067219986580312,0.00871620001271367,0.011427199933677912,137,"[[0, 6], [11, 0]]"
138,15.280108300037682,114961.56990836954,118681.08975830351,0.03134045918780198,0.051114599918946624,0.0979883000254631,0.008944100001826882,0.010870200116187334,138,"[[0, 6], [7, 1]]"
139,15.482727500144392,114961.56990836954,118681.08975830351,0.03134045918780198,0.05510929995216429,0.12411989993415773,0.009031799854710698,0.010594200110062957,139,"[[0, 6], [11, 0]]"
140,15.648612400051206,114961.56990836954,118681.08975830351,0.03134045918780198,0.0503203000407666,0.07904750015586615,0.015622599981725216,0.014213499845936894,140,"[[0, 6], [2, 7]]"
141,15.828855599975213,115041.05216715518,118681.08975830351,0.030670746271047388,0.05910010007210076,0.09565999987535179,0.008698400110006332,0.013212499907240272,141,"[[0, 6], [2, 7]]"
142,16.020924299955368,115041.05216715518,118681.08975830351,0.030670746271047388,0.061244199983775616,0.10557290003634989,0.008799299830570817,0.012891999911516905,142,"[[0, 6], [11, 0]]"
143,16.226532200118527,115045.6244911188,118681.08975830351,0.030632220133708025,0.06702849990688264,0.11272850004024804,0.009499200154095888,0.012633099919185042,143,"[[0, 6], [2, 7]]"
144,16.404890900012106,115063.40064903274,118681.08975830351,0.030482439254966947,0.05809700000099838,0.09650240000337362,0.008545100223273039,0.011670300038531423,144,"[[0, 6], [2, 7]]"
145,16.588990499963984,115063.40064903274,118681.08975830351,0.030482439254966947,0.05389480013400316,0.10530179995112121,0.008895799983292818,0.012474700110033154,145,"[[0, 6], [11, 0]]"
146,16.802207299973816,115063.40064903274,118681.08975830351,0.030482439254966947,0.05974579998292029,0.127715399954468,0.008800300071015954,0.013233699835836887,146,"[[2, 7], [11, 0]]"
147,17.004340100102127,115065.25717313185,118681.08975830351,0.030466796290254693,0.05955459992401302,0.11744940001517534,0.008626200025901198,0.012554100016131997,147,"[[2, 7], [11, 0]]"
148,17.23327310010791,115153.51049802522,118681.08975830351,0.029723178877631453,0.06681230012327433,0.13697020011022687,0.008694400079548359,0.012725099921226501,148,"[[7, 1], [11, 0]]"
149,17.43072900013067,115153.6168484541,118681.08975830351,0.029722282775067072,0.05818519997410476,0.11566340015269816,0.008689299924299121,0.011534299934282899,149,"[[11, 0], [11, 5]]"
150,17.62671159999445,115321.19963642466,118681.08975830351,0.028310239893493884,0.07602280005812645,0.09445809992030263,0.008943599881604314,0.013042000122368336,150,"[[0, 6], [2, 7]]"
151,17.830306299962103,115364.36328320025,118681.08975830351,0.027946545501544056,0.0607595001347363,0.11857799999415874,0.008672100026160479,0.012097900034859776,151,"[[2, 7], [11, 0]]"
152,17.986884700134397,115364.36328320025,118681.08975830351,0.027946545501544056,0.04261339991353452,0.08898429991677403,0.009415199980139732,0.012104499852284789,152,"[[0, 6], [11, 0]]"
153,18.17152630002238,115444.72799606601,118681.08975830351,0.027269397077735128,0.05891459994018078,0.10082020005211234,0.008591900113970041,0.012522999895736575,153,"[[0, 6], [2, 7]]"
