iteration,elapsed_time,master_status,master_runtime,master_lower_bound,master_incumbent_objective,adversarial_status,adversarial_runtime,adversarial_objective,adversarial_objective_bound,adversarial_mip_gap,exact_adversarial_separation,theta,scenario_violation,scenario_added,active_scenario_count,lower_bound,upper_bound,gap
1,0.2201090999878943,optimal,0.03391849994659424,108999.1357327597,108999.1357327597,optimal,0.16465929988771677,33184.48204525415,33184.48204525422,0.0,True,24384.830601405774,8799.65144384838,True,2,108999.1357327597,117798.78717660817,0.0747006964567106
2,0.4856672000605613,optimal,0.07613860000856221,113172.27731436832,113172.27731436832,optimal,0.18381029996089637,35694.93221959839,35694.93221959839,0.0,True,28557.97218301435,7136.9600365840415,True,3,113172.27731436832,117798.78717660817,0.03927468162557244
3,0.7614124999381602,optimal,0.10644989996217191,115688.76471467016,115688.76471467016,optimal,0.16376170003786683,33951.36700949423,33951.36700949423,0.0,True,31074.45958331622,2876.907426178008,True,4,115688.76471467016,117798.78717660817,0.017912089865361525
4,1.0072755999863148,optimal,0.15127229993231595,116242.86575573737,116242.86575573737,optimal,0.08911500009708107,34471.131755421535,34471.13175542157,0.0,True,31628.560624383426,2842.5711310381084,True,5,116242.86575573737,117798.78717660817,0.013208297455033274
5,1.3306418000720441,optimal,0.18802989996038377,116772.74451645966,116772.74451645966,optimal,0.12962509994395077,32335.603341967722,32335.603341967722,0.0,True,32158.43938510571,177.16395686201213,True,6,116772.74451645966,116949.9084733217,0.0015148704190945052
6,1.7698214000556618,optimal,0.339887399924919,116815.11494450644,116815.11494450644,optimal,0.09874339983798563,32200.809813152497,32200.809813152497,0.0,True,32200.809813152457,4.001776687800884e-11,False,6,116815.11494450644,116815.1149445065,4.982887783068073e-16
