case_id,run_order,v7_status,pure_status,v7_certified,pure_certified,v7_runtime,pure_runtime,v7_iterations,pure_iterations,v7_t,pure_t,direct_t,v7_direct_error,v7_faster_when_jointly_certified
week_2018-05-07,hybrid_v7 then pure_ccg,optimal,optimal,True,True,58.80126970005222,81.94978290004656,2,5,0.8082853384317907,0.8082853374992592,0.8082853384312966,4.941602682606572e-13,True
week_2018-05-14,pure_ccg then hybrid_v7,optimal,optimal,True,True,32.910931000020355,57.522400600020774,2,5,0.8893556928770284,0.8893556928777486,0.8893556928773569,3.285149929865838e-13,True
week_2018-05-21,hybrid_v7 then pure_ccg,optimal,uncertified_infeasible,True,False,1.5006945999339223,1.4174586000153795,2,2,0.0032189167221491335,1.0,0.0032189167221491335,0.0,False
week_2018-06-04,pure_ccg then hybrid_v7,optimal,optimal,True,True,40.477479099994525,43.20369470003061,3,5,0.8199820799063303,0.8199820799056994,0.8199820799063242,6.106226635438361e-15,True
week_2018-06-11,hybrid_v7 then pure_ccg,optimal,optimal,True,True,31.720094099990092,45.8733853000449,2,4,0.9368039957021032,0.9368039957022943,0.9368039957024054,3.022027073029676e-13,True
week_2018-06-18,pure_ccg then hybrid_v7,optimal,optimal,True,True,32.882739900029264,50.16693639999721,2,5,0.9092296009466142,0.9092296003822489,0.9092296009464038,2.1038726316646716e-13,True
week_2018-07-02,hybrid_v7 then pure_ccg,optimal,optimal,True,True,5.730275199981406,16.407632100046612,2,4,0.5545264217872463,0.5545264217871703,0.5545264217873023,5.595524044110789e-14,True
week_2018-07-09,pure_ccg then hybrid_v7,optimal,optimal,True,True,1.9438337000319734,3.844274800037965,2,5,0.004281267882568247,0.00428126788256776,0.004281267882568102,1.448494102440634e-16,True
week_2018-07-16,hybrid_v7 then pure_ccg,optimal,optimal,True,True,31.198999000014737,52.44764380005654,2,5,0.9294500261256051,0.9294500213120108,0.9294500261253839,2.212674488077937e-13,True
week_2018-07-30,pure_ccg then hybrid_v7,optimal,optimal,True,True,48.387960199965164,67.71158140001353,2,5,0.7760996302821089,0.776099630282272,0.7760996302819718,1.3711254354120683e-13,True
week_2018-08-06,hybrid_v7 then pure_ccg,optimal,optimal,True,True,24.765052000060678,36.58963270008098,2,5,0.8762844813493752,0.8762844813491676,0.8762844813494925,1.1735057370287905e-13,True
week_2018-08-13,pure_ccg then hybrid_v7,optimal,optimal,True,True,45.78814700001385,67.34678780008107,2,5,0.8507443344031617,0.8507443344043032,0.8507443344042595,1.0977885267493548e-12,True
