alpha,mean_objective,mean_runtime,mean_final_gap,mean_worst_case_cost
0.85,14012.268324901532,3.359450966663038,0.33183854724615314,6465.724710943581
0.9,14087.410640448825,2.6667999000055715,0.28726817652382836,6214.120857644634
0.95,15308.424695572903,2.3494685999855087,0.27174145275687844,7597.388292817229
0.98,16152.949929112967,2.240363833339264,0.20720872196064452,8222.09897971283
