actual_price_of_fairness,actual_robust_cost,algorithm_runtime,cut_count,iterations,minimum_weighted_mean_fill_rate,objective_t,penalized_runtime_par2,post_evaluation_wall_runtime,rho,robust_minimum_fill_rate,scale,scenario_count,scientific_status,seed,total_wall_runtime,wgap,wminfr,wwd
4.440892098500626e-16,18764.217166863033,17.366080299951136,5,6,0.9607916749665049,0.22968178704503311,17.366080299951136,6.510628300020471,0.0,0.7703182129549668,medium_large,16,certified_robust_optimal,170,28.38124679750763,0.22968178704503317,0.7703182129549668,0.19985679699242176
1.7763568394002505e-14,15332.432370847931,23.300016399938613,7,8,0.985145774827054,0.13040447489650023,23.300016399938613,6.896193400025368,0.0,0.8695955251034998,medium_large,18,certified_robust_optimal,171,34.75232349941507,0.1304044748965002,0.8695955251034998,0.11755070245899701
0.0,18398.110957967925,11.218934800010175,3,4,0.9481785440438719,0.3106220481350066,11.218934800010175,7.324681399390101,0.0,0.6893779518649934,medium_large,14,certified_robust_optimal,172,23.296786698279902,0.3106220481350066,0.6893779518649934,0.26939687329828854
0.0,23452.358669221598,12.839387400075793,3,4,0.8693296393675243,0.37452461149752203,12.839387400075793,7.068388800136745,0.0,0.625475388502478,medium_large,14,certified_robust_optimal,173,24.542904898989946,0.37452461149752203,0.625475388502478,0.2602042682307061
6.661338147750939e-16,18351.77730849934,34.97526019997895,10,11,0.9834569055366554,0.11578383303007776,34.97526019997895,8.62827320001088,0.0,0.8842161669699222,medium_large,21,certified_robust_optimal,174,49.16016190010123,0.11578383303007778,0.8842161669699222,0.10602746946682773
0.0,17245.029062777787,14.080179800046608,4,5,0.9828708054046073,0.1765169693350455,14.080179800046608,7.2729891003109515,0.0,0.8234830306649545,medium_large,15,certified_robust_optimal,175,25.947289400268346,0.17651696933504546,0.8234830306649545,0.1593877747396527
4.440892098500626e-16,19475.17534186355,19.736791899893433,6,7,0.9200594882608608,0.48097124762631754,19.736791899893433,6.677823900012299,0.0,0.5190287523736825,medium_large,17,certified_robust_optimal,176,30.72905360092409,0.4809712476263176,0.5190287523736824,0.40742169880854484
0.0,18647.758759160155,28.509577800054103,8,9,0.9032565911581985,0.2918504362984573,28.509577800054103,6.819958498002961,0.0,0.7081495637015427,medium_large,19,certified_robust_optimal,177,40.20723369740881,0.2918504362984573,0.7081495637015427,0.2108845689041947
4.440892098500626e-16,21717.73540062066,21.226922299945727,6,7,0.9051888415257816,0.39579237412666035,21.226922299945727,6.664774100063369,0.0,0.6042076258733396,medium_large,17,certified_robust_optimal,178,32.324124101316556,0.39579237412666035,0.6042076258733396,0.31336795215915214
0.0,17169.718190126463,18.764936599880457,6,7,0.9610259644167407,0.3342776206316509,18.764936599880457,6.719451199751347,0.0,0.6657223793683491,medium_large,17,certified_robust_optimal,179,30.36644470016472,0.3342776206316509,0.6657223793683491,0.2995586408161248
0.010000000000003784,18951.859338531725,21.502177800051868,5,6,0.9593826158703217,0.04737300685855011,21.502177800051868,7.044009000295773,0.01,0.9526269931414499,medium_large,16,certified_robust_optimal,170,33.34994580131024,0.04737300685855028,0.9526269931414497,0.02482454194053385
0.010000000000000897,15485.75669455615,20.84322250005789,6,7,0.9899358945071663,0.015256442804228944,20.84322250005789,7.6944875991903245,0.01,0.984743557195771,medium_large,17,certified_robust_optimal,171,33.84441610053182,0.015256442804228998,0.984743557195771,0.013637282806664985
0.010000000000000453,18582.09206754761,16.33777579991147,4,5,0.9446479148736404,0.10717795498200058,16.33777579991147,6.759349300758913,0.01,0.8928220450179994,medium_large,15,certified_robust_optimal,172,27.51523559889756,0.10717795498200056,0.8928220450179994,0.06955103365386084
0.010000000000000675,23686.88225591383,13.84678339981474,3,4,0.8693817099436832,0.17585739240277992,13.84678339981474,7.7027455002535135,0.01,0.82414260759722,medium_large,14,certified_robust_optimal,173,26.422173698898405,0.17585739240277998,0.82414260759722,0.06159009903548418
0.010000000000000675,18535.295081584332,30.545171099947765,7,8,0.9864379683602716,0.01457770760011039,30.545171099947765,6.9027633995283395,0.01,0.9854222923998897,medium_large,18,certified_robust_optimal,174,42.297702498035505,0.014577707600110346,0.9854222923998897,0.013272924458881286
0.010000000000000009,17417.479353405564,13.754997200099751,3,4,0.9838208804437568,0.030825539621815886,13.754997200099751,6.498941198922694,0.01,0.9691744603781841,medium_large,14,certified_robust_optimal,175,24.45132199721411,0.03082553962181589,0.9691744603781841,0.027926198125391877
0.010000000000000453,19669.927095282186,21.199317999882624,6,7,0.9199133818404883,0.11587410132105892,21.199317999882624,6.625050299568102,0.01,0.8841258986789411,medium_large,17,certified_robust_optimal,176,32.18031409964897,0.11587410132105891,0.8841258986789411,0.052648686224553876
0.010000000000000453,18834.236346751764,27.193100499920547,7,8,0.9031984408392462,0.09973310199801796,27.193100499920547,6.935084798838943,0.01,0.900266898001982,medium_large,18,certified_robust_optimal,177,38.77345419768244,0.07318122105310265,0.900266898001982,0.01870806855009788
0.010000000000012665,21934.912754627134,26.169598799897358,7,8,0.9052039903950032,0.12373608978407726,26.169598799897358,6.805465799989179,0.01,0.8762639102159228,medium_large,18,certified_robust_optimal,178,37.40169629827142,0.12373608978409223,0.8762639102159078,0.04633964325495199
0.010000000000000453,17341.415372027735,18.590997700113803,5,6,0.9642395032422731,0.041049000845495315,18.590997700113803,7.6470030983909965,0.01,0.9589509991545047,medium_large,16,certified_robust_optimal,179,31.39505999884568,0.04104900084549534,0.9589509991545047,0.02408015935244212
0.025000000000000133,19233.322596034603,17.886691899970174,4,5,0.9631918823477073,0.03680811765229282,17.886691899970174,6.752348501235247,0.025,0.9631918823477071,medium_large,15,certified_robust_optimal,170,29.155295500764623,0.03680811765229286,0.9631918823477071,0.018081839890638718
0.023516895328518972,15693.003578044478,24.933050699997693,6,7,0.9958016054565233,0.0041983945434766546,24.933050699997693,10.940083300229162,0.025,0.9958016054565233,medium_large,17,certified_robust_optimal,171,41.618138500489295,0.004198394543476702,0.9958016054565232,0.003778409163183283
