experiment_name,instance_size,method,variant_name,num_runs,num_completed,completed_rate,num_solved,solved_rate,num_success,success_rate,mean_objective,std_objective,mean_runtime,std_runtime,mean_final_gap,mean_iterations,mean_cuts_added,mean_cuts_skipped,mean_master_time,mean_subproblem_time,mean_valid_UB_rate,speedup_vs_standard_benders,runtime_saving_vs_standard
ablation_study,medium,proposed_adaptive_benders,full,5,5,1.0,0,0.0,0,0.0,14423.960436459758,1156.6786735445858,3.4363373600179328,0.37376850298647557,0.34876592618727764,120.0,120.0,0.0,0.6839908001245931,2.6546046600094995,1.0,,
ablation_study,medium,proposed_adaptive_benders,no_adaptive_gap,5,5,1.0,0,0.0,0,0.0,14213.269597480876,1152.7715959593306,3.7685033199959435,0.4473665877726293,0.3564035722161948,120.0,120.0,0.0,0.8746885398868471,2.790818279911764,1.0,,
ablation_study,medium,proposed_adaptive_benders,no_cut_selection,5,5,1.0,0,0.0,0,0.0,14423.960436459758,1156.6786735445858,3.359733899962157,0.4543329410333192,0.34876592618727764,120.0,120.0,0.0,0.6665922598564066,2.599692499823868,1.0,,
ablation_study,medium,proposed_adaptive_benders,no_gamma_continuation,5,5,1.0,0,0.0,0,0.0,14399.012759408279,1421.6378197268793,3.7591450200066903,0.32720593204905224,0.34862983795156505,120.0,120.0,0.0,0.6452313401852734,3.0126247598556803,1.0,,
ablation_study,medium,proposed_adaptive_benders,standard,5,5,1.0,0,0.0,0,0.0,14701.725755681096,1738.5625562038224,3.7193228999967687,0.5251242723661924,0.33176238533956215,120.0,120.0,0.0,0.8873253200785257,2.730664159927983,1.0,,
ablation_study,medium_large,proposed_adaptive_benders,full,5,5,1.0,0,0.0,0,0.0,24922.501657960565,3794.8497945530257,3.464974619995337,0.3104087860671108,0.46314236170243905,120.0,120.0,0.0,0.6331351799191907,2.7275877400184982,1.0,,
ablation_study,medium_large,proposed_adaptive_benders,no_adaptive_gap,5,5,1.0,0,0.0,0,0.0,24867.84886436785,3588.3845674269764,3.9070552400080487,0.36197262375508454,0.47741558610041884,120.0,120.0,0.0,0.9406093400670216,2.8529823798453435,1.0,,
ablation_study,medium_large,proposed_adaptive_benders,no_cut_selection,5,5,1.0,0,0.0,0,0.0,24922.501657960565,3794.8497945530257,3.4949601399945096,0.2705799624771958,0.46314236170243905,120.0,120.0,0.0,0.646740939875599,2.742113880056422,1.0,,
ablation_study,medium_large,proposed_adaptive_benders,no_gamma_continuation,5,5,1.0,0,0.0,0,0.0,24240.252387707045,3489.1611557600236,3.369286499998998,0.40437706694020753,0.45898285542824274,120.0,120.0,0.0,0.5989188400795683,2.668709500192199,1.0,,
ablation_study,medium_large,proposed_adaptive_benders,standard,5,5,1.0,0,0.0,0,0.0,24558.47656231634,3410.2747160608046,4.125735159998294,0.5641197836489242,0.46563302488060543,120.0,120.0,0.0,1.0337655999930575,2.9840955399093216,1.0,,
