iteration,elapsed_time,LB,UB,gap,master_time,subproblem_time,auxiliary_time,cuts_added_total,open_depots
28,1.7031488998327404,97318.28025401669,141380.44594385044,0.31165671741715356,0.00977999996393919,0.03507750015705824,0.02265720022842288,28,13
29,1.7792155998758972,97519.70808863337,141380.44594385044,0.3102319953965661,0.008942699991166592,0.039675400126725435,0.022463599918410182,29,13
30,1.8421306998934597,98370.71124193432,141380.44594385044,0.3042127531483211,0.014419300016015768,0.02553089987486601,0.01979600009508431,30,14
31,1.9176390999928117,100595.70420762469,139609.45574863127,0.27944920587077837,0.016964499838650227,0.034645000007003546,0.020764000015333295,31,12
32,1.9817257998511195,101828.07962896336,138256.49025982182,0.26348427160561866,0.0065963000524789095,0.03322480013594031,0.021042700158432126,32,12
33,2.065226199803874,102591.35096791048,138256.49025982182,0.25796358076851783,0.007500399835407734,0.050686700036749244,0.020945600233972073,33,12
34,2.1477574999444187,104422.01804873253,137514.26722722902,0.2406459332966139,0.007292599882930517,0.05105570005252957,0.021250399760901928,34,12
35,2.277983999811113,106421.42679533582,136027.71682768728,0.21764895216064786,0.006461100187152624,0.09873399999924004,0.021565800067037344,35,12
36,2.3417862998321652,106421.42679533582,136027.71682768728,0.21764895216064786,0.006265300093218684,0.031940799904987216,0.022227899869903922,36,12
37,2.4069605998229235,106954.3754143041,136027.71682768728,0.2137310107925413,0.006791600026190281,0.03266969998367131,0.02235699980519712,37,12
38,2.471690099919215,107336.0343785578,135241.50426660836,0.2063380619683075,0.006498500006273389,0.034845300018787384,0.020396099891513586,38,12
39,2.5697911998722702,107700.73423253704,135131.3398703899,0.20299218274726422,0.008568299934267998,0.063255799934268,0.02209990005940199,39,12
40,2.6719568998087198,108056.29371454174,130408.69870612441,0.1714027147986021,0.007294800132513046,0.07097930018790066,0.02056149998679757,40,12
41,2.7314826999790967,108283.58048169783,130408.69870612441,0.16965983438179583,0.006923699984326959,0.029175000032410026,0.020483999978750944,41,12
42,2.862131599802524,108283.58048169783,128760.85877934376,0.1590334088462212,0.007329500047490001,0.09728390001691878,0.0213319999165833,42,12
43,2.9720468998420984,108480.21751471506,128760.85877934376,0.1575062597196827,0.008242999901995063,0.07731810002587736,0.02084619994275272,43,12
44,3.03934339992702,108480.21751471506,128760.85877934376,0.1575062597196827,0.006639600032940507,0.036449499893933535,0.021176300011575222,44,12
45,3.164949099998921,108564.72625073827,126145.8029812274,0.13937107945720154,0.006976400036364794,0.09602369996719062,0.019398799864575267,45,12
46,3.2919385000132024,108771.8369626493,126145.8029812274,0.13772924352595103,0.007123599993065,0.09616469987668097,0.020315099973231554,46,12
47,3.3796319998800755,108846.1440719414,126145.8029812274,0.13714018620072907,0.011366199934855103,0.05290629994124174,0.02022580010816455,47,14
48,3.4750506998971105,108846.1440719414,125889.60848430419,0.13538420380811464,0.007520799990743399,0.0644386000931263,0.020015500020235777,48,14
49,3.5664383999537677,108846.1440719414,125219.19688949015,0.13075513359184443,0.007870499975979328,0.06163630005903542,0.01864630007185042,49,14
50,3.666512999916449,108846.1440719414,125219.19688949015,0.13075513359184443,0.008153899805620313,0.06742110010236502,0.021190200001001358,50,14
51,3.735366699984297,108846.1440719414,125219.19688949015,0.13075513359184443,0.008720200043171644,0.03652570000849664,0.020649099722504616,51,14
52,3.799441199982539,108846.1440719414,125219.19688949015,0.13075513359184443,0.008223599987104535,0.032292700139805675,0.020702800014987588,52,14
53,3.8734154999256134,108846.1440719414,125219.19688949015,0.13075513359184443,0.008069999981671572,0.03911860007792711,0.02335739997215569,53,14
54,3.9346929998137057,108846.1440719414,125219.19688949015,0.13075513359184443,0.008524700067937374,0.027606100076809525,0.02205060003325343,54,14
55,4.023207799997181,108885.9061829187,125219.19688949015,0.13043759353436912,0.009288900066167116,0.05614880006760359,0.02018260001204908,55,14
56,4.092784399865195,108885.9061829187,125219.19688949015,0.13043759353436912,0.00917389988899231,0.0385219999589026,0.01892470009624958,56,14
57,4.188236299902201,108992.57591880027,125118.14838710721,0.12888276142335078,0.009039100026711822,0.06206509983167052,0.020768699934706092,57,14
58,4.265075499890372,109197.67331250725,123861.34714510402,0.11838781161824621,0.009361299918964505,0.04340219986625016,0.021035399986431003,58,14
59,4.375904999906197,109722.46303964546,123861.34714510402,0.11415089881829567,0.011296299984678626,0.0737149000633508,0.022214700002223253,59,14
60,4.51120930002071,109728.66165877189,123861.34714510402,0.11410085399584458,0.009287199936807156,0.10251410002820194,0.020304000005126,60,14
61,4.640398199902847,109921.4225638085,123861.34714510402,0.11254459040369427,0.009853699943050742,0.09347419999539852,0.02208789996802807,61,14
62,4.746564199915156,109954.41936736318,123861.34714510402,0.11227818926794672,0.009760400047525764,0.07293829997070134,0.020249499939382076,62,14
63,4.82052639988251,110060.25654300053,123861.34714510402,0.11142370820442847,0.010244600009173155,0.04053570004180074,0.02003409992903471,63,14
64,4.948701899964362,110188.55030432157,123861.34714510402,0.11038792291484381,0.01096390001475811,0.09225289989262819,0.021514700027182698,64,14
65,5.082925699884072,110385.21442875668,123861.34714510402,0.10880014651027498,0.010382400127127767,0.09881290001794696,0.02165369992144406,65,14
66,5.2039826000109315,110408.26381165953,123861.34714510402,0.10861405630994918,0.010607199976220727,0.08444499992765486,0.020158500177785754,66,14
67,5.3339523000177,110517.49354086036,123861.34714510402,0.10773218531695192,0.011682800017297268,0.09478610008955002,0.019887799862772226,67,14
68,5.4602657000068575,110568.5450637597,123295.9947576675,0.10322678947457307,0.010509700048714876,0.0915165999904275,0.020661999937146902,68,14
69,5.583190499804914,110590.30876622116,123295.9947576675,0.10305027358284242,0.014320899965241551,0.08354460005648434,0.021313199773430824,69,14
70,5.713373699923977,110735.16550595102,123142.91816183312,0.1007589623592967,0.011519899824634194,0.09567479998804629,0.01954769971780479,70,14
71,5.812190399970859,110879.89294320285,123142.91816183312,0.0995836821287143,0.011312599992379546,0.06353629985824227,0.020755100063979626,71,14
72,5.926343400031328,111430.41617768962,123142.91816183312,0.09511307803142242,0.01063039992004633,0.07918330002576113,0.021139599848538637,72,14
73,6.0462220998015255,111430.41617768962,123142.91816183312,0.09511307803142242,0.010760900098830462,0.08574889996089041,0.01986400014720857,73,14
74,6.14595519984141,111449.4891156472,123142.91816183312,0.09495819346118255,0.010914199985563755,0.06415400002151728,0.02121819998137653,74,14
75,6.304078799905255,111572.01623617709,123142.91816183312,0.09396319413553016,0.012163500068709254,0.1217652999330312,0.020846699830144644,75,14
76,6.4297898998484015,111670.28588334372,122714.179258847,0.08999688090002912,0.011494900099933147,0.08979429979808629,0.020943799754604697,76,14
77,6.582204199861735,111782.58660314178,122714.179258847,0.08908174036389613,0.011476999847218394,0.11427010013721883,0.022741699824109674,77,14
78,6.666361499810591,112126.89511825892,122714.179258847,0.08627596423275424,0.012075900100171566,0.04517129994928837,0.023065500194206834,78,14
79,6.77373499982059,112126.89511825892,121248.85076668765,0.07523333698215084,0.012618800159543753,0.0692269999999553,0.02178659988567233,79,14
80,6.874012899817899,112126.89511825892,121248.85076668765,0.07523333698215084,0.012851200066506863,0.06466050003655255,0.019384900107979774,80,14
81,6.984606900019571,112126.89511825892,121248.85076668765,0.07523333698215084,0.012143499916419387,0.07585590006783605,0.019140399992465973,81,14
82,7.085869799833745,112126.89511825892,121248.85076668765,0.07523333698215084,0.01201740000396967,0.06565239978954196,0.02030099998228252,82,14
83,7.203145599924028,112126.89511825892,121248.85076668765,0.07523333698215084,0.013840899802744389,0.07902890001423657,0.021156399743631482,83,14
84,7.33400689996779,112211.52108653284,121248.85076668765,0.07453538423671197,0.013725499855354428,0.09277540002949536,0.02084090025164187,84,14
85,7.477150099817663,112574.11275397433,121248.85076668765,0.07154490915056698,0.012406500056385994,0.10758020007051528,0.019792700186371803,85,14
86,7.6330279998946935,112623.5455701062,121248.85076668765,0.07113721195740355,0.013866599882021546,0.1157755998428911,0.020802099956199527,86,14
87,7.75968090002425,112623.5455701062,121248.85076668765,0.07113721195740355,0.014751499984413385,0.08787149982526898,0.02045339997857809,87,14
88,7.840698099927977,112797.67211922836,121248.85076668765,0.06970110309516601,0.014263899996876717,0.04166830005124211,0.02134809992276132,88,14
89,7.955593799939379,112797.67211922836,121236.24836096722,0.06960439930980011,0.014748699963092804,0.07587020006030798,0.02053060010075569,89,14
90,8.079727199859917,112797.67211922836,120673.27009971961,0.06526381504357318,0.01396239991299808,0.08678070013411343,0.019967200234532356,90,14
91,8.219615399837494,112797.67211922836,120673.27009971961,0.06526381504357318,0.015141800045967102,0.10099359997548163,0.019952799892053008,91,14
92,8.335954600013793,112840.47124963319,120673.27009971961,0.06490914552670779,0.014069899916648865,0.07880220003426075,0.02008139993995428,92,14
93,8.435428699944168,112917.12366884857,120673.27009971961,0.06427393924488554,0.014942199923098087,0.059192399960011244,0.02184810023754835,93,14
94,8.561538700014353,112935.01869626078,120673.27009971961,0.06412564602802459,0.016491299960762262,0.08559639984741807,0.02040009992197156,94,14
95,8.734752499964088,113079.87756135334,120673.27009971961,0.06292522388836727,0.016025499906390905,0.1326657000463456,0.02103849989362061,95,14
96,8.867620699806139,113079.87756135334,119957.58479331246,0.05733449238586663,0.015405100071802735,0.0920140000525862,0.020301900105550885,96,14
97,9.022685799980536,113241.46271704871,119957.58479331246,0.0559874733042989,0.01754939998500049,0.11391309997998178,0.02004750003106892,97,14
98,9.145450099837035,113268.0034235152,119957.58479331246,0.05576622254710651,0.015320200007408857,0.08353699999861419,0.020628999918699265,98,14
99,9.26372339995578,113334.97690220804,119957.58479331246,0.05520791288450167,0.016631999984383583,0.07772960001602769,0.020080900052562356,99,14
100,9.383599399821833,113375.63385081297,119957.58479331246,0.054868985182056025,0.01716129994019866,0.07839929987676442,0.02072310005314648,100,14
101,9.505955999949947,113521.7502596193,119957.58479331246,0.0536509179038753,0.017197899986058474,0.08046299987472594,0.021184500074014068,101,14
102,9.626887599937618,113580.91474706537,119754.17537448398,0.05154943957581581,0.015984400175511837,0.08119720011018217,0.020500099984928966,102,14
103,9.767792499857023,113610.55560788822,119474.139461482,0.049078268150943044,0.01860160008072853,0.09903919999487698,0.019875500118359923,103,14
104,9.880904099904,113739.0894090035,119474.139461482,0.04800243867274273,0.01665680017322302,0.07218840019777417,0.020955999847501516,104,14
105,10.035079799825326,113821.80914339646,119474.139461482,0.047310073490069646,0.031795000191777945,0.09913969994522631,0.01970280008390546,105,14
106,10.21612360002473,114001.12961393046,119474.139461482,0.045809158971310424,0.048032699851319194,0.1073266000021249,0.021912199910730124,106,12
107,10.339016899932176,114001.12961393046,119474.139461482,0.045809158971310424,0.01652269996702671,0.08237349987030029,0.020317399874329567,107,12
108,10.462485400028527,114001.12961393046,119474.139461482,0.045809158971310424,0.016239900141954422,0.08414619998075068,0.019511799793690443,108,12
109,10.595376299927011,114001.12961393046,119474.139461482,0.045809158971310424,0.01656969985924661,0.09119479986838996,0.02149359998293221,109,12
110,10.769648199900985,114001.12961393046,119474.139461482,0.045809158971310424,0.01644119992852211,0.13353909994475543,0.02068520011380315,110,12
111,10.913821999914944,114001.12961393046,119474.139461482,0.045809158971310424,0.015941999852657318,0.10330149997025728,0.021439099917188287,111,12
112,11.035369199933484,114001.12961393046,119474.139461482,0.045809158971310424,0.016501300036907196,0.07988959993235767,0.02152780001051724,112,12
113,11.142411999870092,114001.12961393046,119474.139461482,0.045809158971310424,0.017725500045344234,0.06492320005781949,0.020896099973469973,113,12
114,11.269889099989086,114001.12961393046,119474.139461482,0.045809158971310424,0.019079300109297037,0.08017079997807741,0.022246200125664473,114,12
115,11.461976799881086,114578.8898358106,119474.139461482,0.040973298889084,0.05071060010232031,0.11532089998945594,0.02264169999398291,115,12
116,11.602291899966076,114578.8898358106,119474.139461482,0.040973298889084,0.01759409997612238,0.09782499982975423,0.02151750004850328,116,12
117,11.741238999878988,114578.8898358106,119474.139461482,0.040973298889084,0.018024699995294213,0.09567599999718368,0.02167409984394908,117,12
118,11.890657600015402,114578.8898358106,119474.139461482,0.040973298889084,0.01894679991528392,0.10462630004622042,0.021899300161749125,118,12
119,12.04401099984534,114578.8898358106,119474.139461482,0.040973298889084,0.019433900015428662,0.10838350001722574,0.021740099880844355,119,12
120,12.191687599988654,114578.8898358106,119474.139461482,0.040973298889084,0.02051150007173419,0.10191130009479821,0.021686399821192026,120,12
121,12.359312199987471,114700.53262860377,119474.139461482,0.03995514723432864,0.053107500076293945,0.08899149997159839,0.021343099884688854,121,12
122,12.572191799990833,114715.89689108708,119474.139461482,0.0398265481705266,0.05900610005483031,0.12867959984578192,0.02152879978530109,122,12
123,12.759127999888733,114715.89689108708,119474.139461482,0.0398265481705266,0.05275189992971718,0.11056499998085201,0.020261300029233098,123,12
124,12.926551699871197,114749.5049514761,119474.139461482,0.03954524829642402,0.05529769998975098,0.08660149993374944,0.022119899978861213,124,12
125,13.107031499966979,114749.5049514761,119474.139461482,0.03954524829642402,0.04756089998409152,0.10794800007715821,0.021391900023445487,125,12
126,13.254343400010839,114961.56990836954,119474.139461482,0.03777026202869032,0.05397900007665157,0.06714960001409054,0.022408299846574664,126,13
127,13.401604699902236,114961.56990836954,119474.139461482,0.03777026202869032,0.020021599950268865,0.10213880008086562,0.021605300018563867,127,13
128,13.53766949987039,114961.56990836954,119474.139461482,0.03777026202869032,0.020085500087589025,0.090157900005579,0.022183499997481704,128,13
129,13.712103500030935,114961.56990836954,119474.139461482,0.03777026202869032,0.03732319991104305,0.11282570008188486,0.020881799748167396,129,13
130,13.865359499817714,114961.56990836954,119437.6881239627,0.0374765979306922,0.04220349993556738,0.08751779980957508,0.019775999942794442,130,13
131,14.034724100027233,114961.56990836954,119437.6881239627,0.0374765979306922,0.05169769981876016,0.0937266000546515,0.020498600089922547,131,13
132,14.232439999934286,114961.56990836954,119191.09230215708,0.035485222193160464,0.05745629989542067,0.11608710000291467,0.020706300158053637,132,13
133,14.39278609980829,114961.56990836954,119087.5143431019,0.03464632255943423,0.051311800023540854,0.08511759992688894,0.020386400166898966,133,13
134,14.578098999802023,114961.56990836954,118681.08975830351,0.03134045918780198,0.04917689994908869,0.10982930008322,0.02216039993800223,134,13
135,14.782346999971196,114961.56990836954,118681.08975830351,0.03134045918780198,0.062444600043818355,0.11685379990376532,0.021047400310635567,135,13
136,14.95905419997871,114961.56990836954,118681.08975830351,0.03134045918780198,0.046699700178578496,0.1050744999665767,0.021344499895349145,136,14
137,15.138336399802938,114961.56990836954,118681.08975830351,0.03134045918780198,0.0482684001326561,0.10777969984337687,0.019876200007274747,137,14
138,15.318412899971008,114961.56990836954,118681.08975830351,0.03134045918780198,0.04905050015076995,0.10570339998230338,0.01943300012499094,138,14
139,15.510038299951702,114961.56990836954,118681.08975830351,0.03134045918780198,0.0579452000092715,0.1110886000096798,0.018917500041425228,139,14
140,15.668269400019199,114961.56990836954,118681.08975830351,0.03134045918780198,0.0447178001049906,0.08668339997529984,0.022986399941146374,140,14
141,15.850661400007084,115041.05216715518,118681.08975830351,0.030670746271047388,0.06426350004039705,0.09209950012154877,0.022085600066930056,141,14
142,16.030918499920517,115041.05216715518,118681.08975830351,0.030670746271047388,0.05398759990930557,0.10072209988720715,0.021923200227320194,142,14
143,16.212568399962038,115045.6244911188,118681.08975830351,0.030632220133708025,0.0543610998429358,0.10312410001643002,0.02066059992648661,143,13
144,16.388565599918365,115063.40064903274,118681.08975830351,0.030482439254966947,0.05740739987231791,0.09496039990335703,0.020040599862113595,144,13
145,16.59646559995599,115063.40064903274,118681.08975830351,0.030482439254966947,0.05696179997175932,0.12311060004867613,0.021550599951297045,145,13
146,16.824819299858063,115063.40064903274,118681.08975830351,0.030482439254966947,0.0668204000685364,0.13562229997478426,0.02240039990283549,146,12
147,17.01152849989012,115065.25717313185,118681.08975830351,0.030466796290254693,0.06013919995166361,0.10275249998085201,0.020386700052767992,147,12
148,17.23967229994014,115153.51049802522,118681.08975830351,0.029723178877631453,0.0596386999823153,0.14112509996630251,0.02327510016039014,148,12
149,17.4288990998175,115153.6168484541,118681.08975830351,0.029722282775067072,0.05555140017531812,0.10941220005042851,0.02064780006185174,149,12
150,17.6194088999182,115321.19963642466,118681.08975830351,0.028310239893493884,0.06337620015256107,0.10206609987653792,0.021519700065255165,150,13
151,17.81302349991165,115364.36328320025,118681.08975830351,0.027946545501544056,0.05902399984188378,0.11006969981826842,0.020973700331524014,151,13
152,17.977621200028807,115364.36328320025,118681.08975830351,0.027946545501544056,0.04366610012948513,0.09537799982354045,0.020760399755090475,152,13
153,18.170189099851996,115444.72799606601,118681.08975830351,0.027269397077735128,0.06199169997125864,0.1065766999963671,0.02055949973873794,153,13
154,18.317829799838364,115444.72799606601,118681.08975830351,0.027269397077735128,0.024625100195407867,0.0977390999905765,0.021649600006639957,154,13
155,18.517175199929625,115444.72799606601,118681.08975830351,0.027269397077735128,0.02497110003605485,0.149938500020653,0.020669999765232205,155,13
156,18.66985969990492,115444.72799606601,118681.08975830351,0.027269397077735128,0.027981200022622943,0.10022610006853938,0.020826000021770597,156,13
157,18.823680899804458,115444.72799606601,118681.08975830351,0.027269397077735128,0.027614600025117397,0.10077450005337596,0.021262100199237466,157,13
158,18.979839199921116,115444.72799606601,118681.08975830351,0.027269397077735128,0.024495000019669533,0.10683539998717606,0.02143600000999868,158,13
159,19.12936139991507,115444.72799606601,118681.08975830351,0.027269397077735128,0.02573260013014078,0.09863239992409945,0.021638500038534403,159,13
160,19.285273500019684,115444.72799606601,118681.08975830351,0.027269397077735128,0.026869399938732386,0.10200940002687275,0.021818900015205145,160,13
161,19.413178199902177,115444.72799606601,118681.08975830351,0.027269397077735128,0.028932899935171008,0.07487229979597032,0.020525299943983555,161,13
162,19.556874899892136,115444.72799606601,118681.08975830351,0.027269397077735128,0.026428199838846922,0.0935774000827223,0.020273500122129917,162,13
163,19.698391299927607,115444.72799606601,118681.08975830351,0.027269397077735128,0.02638590009883046,0.0913056000135839,0.02051310008391738,163,13
164,19.865178199950606,115444.72799606601,118681.08975830351,0.027269397077735128,0.02873879997059703,0.11184600018896163,0.022325800033286214,164,13
165,20.057245299918577,115444.72799606601,118586.85034812469,0.026496380862082388,0.031122199958190322,0.1369554998818785,0.02048589987680316,165,13
166,20.21431229985319,115444.72799606601,118586.85034812469,0.026496380862082388,0.02774160006083548,0.10489249997772276,0.020946299890056252,166,13
167,20.364642299944535,115444.72799606601,118586.85034812469,0.026496380862082388,0.02791800000704825,0.09905109996907413,0.01999620022252202,167,13
168,20.516003399854526,115444.72799606601,118586.85034812469,0.026496380862082388,0.05211160006001592,0.07509350008331239,0.020744399866089225,168,13
169,20.71541679999791,115691.57200367928,118432.6463934016,0.02314458448067784,0.06121450010687113,0.1114311998244375,0.021873499965295196,169,13
170,20.910324399825186,115691.57200367928,118163.52812887557,0.020919789416749966,0.029558199923485518,0.13941800012253225,0.021968499990180135,170,13
171,21.062591299880296,115691.57200367928,118163.52812887557,0.020919789416749966,0.032722000032663345,0.09372320002876222,0.021907699992880225,171,13
172,21.251422599889338,115691.57200367928,118163.52812887557,0.020919789416749966,0.05766770010814071,0.1071442998945713,0.02047590003348887,172,13
173,21.444626400014386,115691.57200367928,118163.52812887557,0.020919789416749966,0.06398450001142919,0.10443629999645054,0.021055799908936024,173,13
174,21.619016599841416,115691.57200367928,118163.52812887557,0.020919789416749966,0.06879799999296665,0.08171960012987256,0.02040149993263185,174,13
175,21.818925899919122,115691.57200367928,118026.89038008315,0.019786324700103688,0.05848459992557764,0.11703770002350211,0.020908499835059047,175,13
176,21.994839299935848,115691.57200367928,118026.89038008315,0.019786324700103688,0.06353379995562136,0.088277000002563,0.020324999932199717,176,13
177,22.194240499986336,115691.57200367928,118026.89038008315,0.019786324700103688,0.07055830000899732,0.10263979993760586,0.020447000162675977,177,13
178,22.42373209982179,115691.57200367928,118026.89038008315,0.019786324700103688,0.0772637000773102,0.12651759991422296,0.021296299761161208,178,13
179,22.635772299952805,115691.57200367928,117872.39983872263,0.01850159866115599,0.06165539985522628,0.12622159998863935,0.02040739986114204,179,13
180,22.86743829981424,115691.57200367928,117872.39983872263,0.01850159866115599,0.07228580000810325,0.13488629995845258,0.020845800172537565,180,13
181,23.035958499880508,115691.57200367928,117768.25098196261,0.01763360634948549,0.0677485999185592,0.07773669995367527,0.01961749978363514,181,13
182,23.251451599877328,115691.57200367928,117768.25098196261,0.01763360634948549,0.06860879994928837,0.12347900005988777,0.019656400196254253,182,13
183,23.447193899890408,115691.57200367928,117768.25098196261,0.01763360634948549,0.07430030009709299,0.09762590005993843,0.020105899777263403,183,13
184,23.644138199975714,115691.57200367928,117768.25098196261,0.01763360634948549,0.07419269997626543,0.0972660998813808,0.021264299983158708,184,13
185,23.865884999977425,115691.57200367928,117768.25098196261,0.01763360634948549,0.07611840008758008,0.12191430013626814,0.020054900087416172,185,13
186,24.06696999981068,115691.57200367928,117768.25098196261,0.01763360634948549,0.07514249999076128,0.10215580021031201,0.02004719991236925,186,13
187,24.258426999906078,115691.57200367928,117768.25098196261,0.01763360634948549,0.07884809980168939,0.0896942000836134,0.019086600048467517,187,13
188,24.45234279986471,115691.57200367928,117768.25098196261,0.01763360634948549,0.07199009996838868,0.09800700005143881,0.020234900061041117,188,13
189,24.647048499900848,115691.57200367928,117768.25098196261,0.01763360634948549,0.07434189994819462,0.0966354999691248,0.020006499718874693,189,13
190,24.850670999847353,115691.57200367928,117768.25098196261,0.01763360634948549,0.08726789988577366,0.09327630000188947,0.019402100006118417,190,13
191,25.059462199918926,115691.57200367928,117768.25098196261,0.01763360634948549,0.07932969997636974,0.10613780003041029,0.019735899986699224,191,13
192,25.244832399999723,115691.57200367928,117768.25098196261,0.01763360634948549,0.06777699990198016,0.09331269981339574,0.02052909997291863,192,13
193,25.45296619995497,115691.57200367928,117768.25098196261,0.01763360634948549,0.07729919999837875,0.10739939985796809,0.02005350007675588,193,13
194,25.65944099985063,115691.57200367928,117768.25098196261,0.01763360634948549,0.08074830006808043,0.10182580002583563,0.02018290013074875,194,13
195,25.88112079980783,115691.57200367928,117768.25098196261,0.01763360634948549,0.07706780009903014,0.12149109994061291,0.01942700007930398,195,13
196,26.06177209992893,115691.57200367928,117768.25098196261,0.01763360634948549,0.07364429999142885,0.08470470015890896,0.018788999877870083,196,13
197,26.249196199933067,115691.57200367928,117768.25098196261,0.01763360634948549,0.06456479988992214,0.09779040003195405,0.0208105999045074,197,13
198,26.49216609983705,115691.57200367928,117768.25098196261,0.01763360634948549,0.0851382000837475,0.13448329991661012,0.019707399886101484,198,13
199,26.69967919983901,115691.57200367928,117687.56170862929,0.01696007357083056,0.08162739989347756,0.10151170007884502,0.020220099948346615,199,13
200,26.892944699851796,115691.57200367928,117687.56170862929,0.01696007357083056,0.07450970006175339,0.09301130007952452,0.020383700029924512,200,13
201,27.082805699901655,115691.57200367928,117652.27316666467,0.01666522125082863,0.07890999992378056,0.08667800016701221,0.020685400115326047,201,13
202,27.324504300020635,115691.57200367928,117652.27316666467,0.01666522125082863,0.08167450013570487,0.13456299994140863,0.02132869977504015,202,13
203,27.567224900005385,115691.57200367928,117652.27316666467,0.01666522125082863,0.08291159989312291,0.13522509997710586,0.020819100085645914,203,13
204,27.774769899901003,115691.57200367928,117652.27316666467,0.01666522125082863,0.08358550001867115,0.09954129997640848,0.020599500043317676,204,13
205,27.998848599847406,115691.57200367928,117652.27316666467,0.01666522125082863,0.08422600012272596,0.11579840001650155,0.020346500212326646,205,13
206,28.209669899893925,115691.57200367928,117652.27316666467,0.01666522125082863,0.0786167997866869,0.1076807000208646,0.020775499986484647,206,13
207,28.429609999991953,115691.57200367928,117652.27316666467,0.01666522125082863,0.08011710015125573,0.11230050004087389,0.021764200180768967,207,13
208,28.639205199899152,115691.57200367928,117647.45267622938,0.01662493006060037,0.0825499000493437,0.10334539995528758,0.019884799839928746,208,13
209,28.857566399965435,115930.44982195651,117647.45267622938,0.014594475402694276,0.11176429991610348,0.08098059985786676,0.021478299982845783,209,12
210,29.105316799832508,115930.44982195651,117647.45267622938,0.014594475402694276,0.08868629997596145,0.13560739997774363,0.019695400027558208,210,12
