case,variant,status,certified,objective,lower_bound,upper_bound,gap,iterations,proposed_cuts,accepted_cuts,duplicate_cuts_rejected,master_runtime,total_runtime,valid_bounds
small_seed_0,legacy,optimal,True,8677.68633734258,8677.493413861812,8677.68633734258,2.2232133459158136e-05,23,23,23,0,0.1011245995759964,0.319071700097993,True
small_seed_0,low_risk,optimal,True,8677.68633734258,8677.493413861812,8677.68633734258,2.2232133459158136e-05,23,23,23,0,0.07182309962809086,0.22235860000364482,True
small_seed_1,legacy,optimal,True,8609.57276250226,8609.572686340744,8609.57276250226,8.84614343927432e-09,11,11,11,0,0.02208869974128902,0.0839098000433296,True
small_seed_1,low_risk,optimal,True,8609.57276250226,8609.572686340744,8609.57276250226,8.84614343927432e-09,11,11,11,0,0.020989700220525265,0.08208560012280941,True
medium_seed_0,legacy,optimal,True,14043.286493022657,14042.097668171959,14043.286493022657,8.465431872297845e-05,118,118,118,0,0.377363299485296,6.202026200015098,True
medium_seed_0,low_risk,optimal,True,14043.286493022657,14042.097668171959,14043.286493022657,8.465431872297845e-05,118,118,118,0,0.3823142994660884,6.2162279998883605,True
renault_210202_300s_diagnostic,baseline,historical_time_cap,False,,116799.22154734991,116854.79883500279,0.00047560980128298635,843,,843,,189.8297123007942,299.8274488998577,True
renault_210202_300s_diagnostic,low_risk,time_limit,False,,116799.21974106538,116854.79883500279,0.0004756252587956587,840,840,840,0,193.65606539999135,300.15052239992656,True
