segment,movement_count,start_iteration,end_iteration,median_y_hamming,p90_y_hamming,fraction_y_hamming_positive,median_x_normalized_l1,p90_x_normalized_l1,fraction_x_normalized_l1_gt_0_01,fraction_x_normalized_l1_gt_0_05,fraction_x_normalized_l1_gt_0_10,unique_y_patterns,short_cycles_total,lb_improvement,mean_master_runtime,y_cycles_p2,y_cycles_p3,y_cycles_p4,y_cycles_p5,x_cycles_p2,x_cycles_p3,x_cycles_p4,x_cycles_p5
first_25pct,211,2,212,0.0,2.0,0.12796208530805686,1.0073240553911835,1.4944694669613992,0.981042654028436,0.966824644549763,0.9478672985781991,20,2,115930.44982195651,0.032428795731101204,0,0,1,1,0,0,0,0
25_to_50pct,212,213,424,0.0,0.0,0.08018867924528301,0.6858378667507535,0.9892026979301669,0.9669811320754716,0.9528301886792453,0.9528301886792453,6,17,704.6565962839231,0.16201595754367035,3,4,5,5,0,0,0,0
50_to_75pct,212,425,636,0.0,0.0,0.0330188679245283,0.45465343130286984,0.6277681905259515,0.9528301886792453,0.8820754716981132,0.8490566037735849,2,5,125.81874754196906,0.28110036934299815,1,1,1,2,0,0,0,0
75_to_90pct,127,637,763,0.0,0.0,0.07086614173228346,0.3222522717359217,0.4670143231118283,0.952755905511811,0.9212598425196851,0.889763779527559,3,10,33.725410367987934,0.40700643622191757,0,4,3,3,0,0,0,0
final_10pct,84,764,847,0.0,0.0,0.011904761904761904,0.0019690530672728758,0.30018087539218224,0.40476190476190477,0.34523809523809523,0.34523809523809523,1,2,4.57370839525538,0.4451491487922058,1,0,0,1,0,0,0,0
final_500,500,348,847,0.0,0.0,0.042,0.3601340573710626,0.6761834568837689,0.862,0.808,0.786,3,24,254.77093036597944,0.32760372759541495,3,7,6,8,0,0,0,0
final_250,250,598,847,0.0,0.0,0.044,0.27483512631827045,0.45248561976749824,0.772,0.712,0.688,3,12,40.19348836106656,0.40812970679719,1,4,3,4,0,0,0,0
final_100,100,748,847,0.0,0.0,0.05,0.016003200595472247,0.3224451897019517,0.5,0.45,0.44,3,6,9.573091494807159,0.44277373898541555,1,2,1,2,0,0,0,0
