method,certified,total_runtime,final_LB,final_UB,final_gap,gap_reduction_vs_benders_only,benders_runtime,ccg_runtime,ccg_iterations,ccg_scenarios_added,inherited_scenarios,final_active_scenarios,ccg_master_runtime,adversarial_runtime,master_dominated_ccg_tail
pure_ccg,True,1.7698351999279112,116815.11494450644,116815.1149445065,4.982887783068073e-16,0.9999999999984776,0.0,1.7698351999279112,6,5,0,6,0.8956965997349471,0.8297147997654974,True
handoff_300,True,303.3050793001894,116815.11494450644,116815.11494450647,2.491443891534037e-16,0.9999999999992388,300.09999450016767,3.205084800021723,1,0,25,26,2.9197397001553327,0.11688870005309582,True
handoff_600,True,603.8185422997922,116815.11494450644,116815.11494450645,1.2457219457670187e-16,0.9999999999996194,600.0074902998749,3.811051999917254,1,0,25,26,3.5420315999072045,0.09911139984615147,True
handoff_900,True,903.8217714000493,116815.11494450644,116815.11494450645,1.2457219457670187e-16,0.9999999999996194,900.0120109000709,3.809760499978438,1,0,25,26,3.5316856999415904,0.1012941999360919,True
