scale,count,absolute_gap_mean,absolute_gap_median,absolute_gap_std,absolute_gap_iqr,absolute_gap_min,absolute_gap_max,relative_gap_g_i_mean,relative_gap_g_i_median,relative_gap_g_i_std,relative_gap_g_i_iqr,relative_gap_g_i_min,relative_gap_g_i_max,rho_0_max_relative_slack_to_unknown_optimum_mean,rho_0_max_relative_slack_to_unknown_optimum_median,rho_0_max_relative_slack_to_unknown_optimum_std,rho_0_max_relative_slack_to_unknown_optimum_iqr,rho_0_max_relative_slack_to_unknown_optimum_min,rho_0_max_relative_slack_to_unknown_optimum_max,rho_001_max_effective_cost_increment_mean,rho_001_max_effective_cost_increment_median,rho_001_max_effective_cost_increment_std,rho_001_max_effective_cost_increment_iqr,rho_001_max_effective_cost_increment_min,rho_001_max_effective_cost_increment_max
medium_large,10,1.5669258325384363,1.642878594366266,0.32600961430791237,0.26661194345933836,0.7513907374559494,1.8907228679818218,8.474736999843724e-05,9.138181695465117e-05,1.9831613226557506e-05,1.5454407696771462e-05,3.2039026353543685e-05,9.871585268769e-05,8.474736999843724e-05,9.138181695465117e-05,1.9831613226557506e-05,1.5454407696771462e-05,3.2039026353543685e-05,9.871585268769e-05,0.010085602455831321,0.010092304080263292,2.0032544491643038e-05,1.5611727977704604e-05,0.01003236045341449,0.01009971285445399
large,10,2.6695818183758093,2.6356351816666574,1.0245052723498063,0.6346641958980399,0.6966538026936178,4.520101984417124,8.468668510440427e-05,8.80033435452497e-05,2.042309937768283e-05,1.2497865274403505e-05,2.9526803291371824e-05,9.909957905432004e-05,8.468668510440427e-05,8.80033435452497e-05,2.042309937768283e-05,1.2497865274403505e-05,2.9526803291371824e-05,9.909957905432004e-05,0.010085541175348833,0.010088891200146666,2.0629951671551675e-05,1.2625142288891222e-05,0.010029822951900691,0.010100100494761843
overall,20,2.118253825457123,1.8657761373033281,0.9313908956857183,0.9587926714107198,0.6966538026936178,4.520101984417124,8.471702755142075e-05,8.843304336453225e-05,1.9592669487803924e-05,1.4435322469828394e-05,2.9526803291371824e-05,9.909957905432004e-05,8.471702755142075e-05,8.843304336453225e-05,1.9592669487803924e-05,1.4435322469828394e-05,2.9526803291371824e-05,9.909957905432004e-05,0.010085571815590078,0.010089325273158645,1.9791144324126398e-05,1.4582296377518844e-05,0.010029822951900691,0.010100100494761843
