gamma_target,mean_objective,mean_runtime,mean_final_gap,mean_worst_case_cost
0,12894.17499340386,1.66531253332505,0.3670365923746569,5605.4865563135945
1,13480.941815248336,2.8603410666886098,0.34290729435446177,6003.513612357995
2,13936.104853289802,3.146524900007838,0.267589979005214,6061.18613865674
3,14854.362927860791,2.98106466664467,0.25395506442755866,7030.900226035993
4,15838.058749180684,3.2027451999795935,0.2965306237164571,7999.1719058971275
